id,nameFirst,nameLast,playerID,last_seen_year,return_year,gap_years,gap_years_range,gap_details
1,Jim,Donnelly,donneji01,1891,1896,4,1892 - 1895,
2,Willard,Mains,mainswi01,1891,1896,4,1892 - 1895,
3,John,Shearon,shearjo01,1891,1896,4,1892 - 1895,
4,Frank,Shannon,shannfr01,1892,1896,3,1893 - 1895,
5,Charlie,Hastings,hastich01,1893,1896,2,1894 - 1895,
6,Jim,Hughey,hugheji01,1893,1896,2,1894 - 1895,
7,Silver,King,kingsi01,1893,1896,2,1894 - 1895,
8,Pat,McCauley,mccaupa01,1893,1896,2,1894 - 1895,
9,Ed,McFarland,mcfared01,1893,1896,2,1894 - 1895,
10,Jud,Smith,smithju01,1893,1896,2,1894 - 1895,
11,George,Ulrich,ulricge01,1893,1896,2,1894 - 1895,
12,Ice Box,Chamberlain,chambel01,1894,1896,1,1895 - 1895,
13,Fritz,Clausen,clausfr01,1894,1896,1,1895 - 1895,
14,Frank,Connaughton,connafr01,1894,1896,1,1895 - 1895,
15,Tom,Delahanty,delahto01,1894,1896,1,1895 - 1895,
16,Chauncey,Fisher,fishech04,1894,1896,1,1895 - 1895,
17,Carney,Flynn,flynnca01,1894,1896,1,1895 - 1895,
18,Hank,Gastright,gastrha01,1894,1896,1,1895 - 1895,
19,George,Harper,harpege01,1894,1896,1,1895 - 1895,
20,Bill,Whitrock,whitrbi01,1894,1896,1,1895 - 1895,
