id,nameFirst,nameLast,playerID,last_seen_year,return_year,gap_years,gap_years_range,gap_details
1,Steve,Fireovid,fireost01,1986,1992,5,1987 - 1991,
2,Doug,Davis,davisdo01,1988,1992,3,1989 - 1991,
3,Scott,Service,servisc01,1988,1992,3,1989 - 1991,"1991 - NPB, Chunichi Dragons"
4,Mike,Birkbeck,birkbmi01,1989,1992,2,1990 - 1991,
5,Mike,Campbell,campbmi01,1989,1992,2,1990 - 1991,
6,Tommy,Barrett,barreto01,1989,1992,2,1990 - 1991,
7,Benny,Distefano,distebe01,1989,1992,2,1990 - 1991,"1990 - NPB, Chunichi Dragons"
8,Terry,Jorgensen,jorgete01,1989,1992,2,1990 - 1991,
9,Tracy,Woodson,woodstr01,1989,1992,2,1990 - 1991,
10,Todd,Worrell,worreto01,1989,1992,2,1990 - 1991,
11,Geronimo,Berroa,berroge01,1990,1992,1,1991 - 1991,
12,Bert,Blyleven,blylebe01,1990,1992,1,1991 - 1991,
13,John,Cangelosi,cangejo01,1990,1992,1,1991 - 1991,
14,Ozzie,Canseco,canseoz01,1990,1992,1,1991 - 1991,
15,Jeff,Conine,coninje01,1990,1992,1,1991 - 1991,
16,Mark,Dewey,deweyma01,1990,1992,1,1991 - 1991,
17,Frank,DiPino,dipinfr01,1990,1992,1,1991 - 1991,
18,Mike,Dunne,dunnemi01,1990,1992,1,1991 - 1991,
19,Tom,Filer,filerto01,1990,1992,1,1991 - 1991,
20,Brian,Fisher,fishebr01,1990,1992,1,1991 - 1991,
21,Jerry,Goff,goffje01,1990,1992,1,1991 - 1991,
22,Mark,Grant,grantma01,1990,1992,1,1991 - 1991,
23,Bill,Haselman,haselbi01,1990,1992,1,1991 - 1991,
24,Dion,James,jamesdi01,1990,1992,1,1991 - 1991,
25,Moises,Alou,aloumo01,1990,1992,1,1991 - 1991,
26,Randy,Kramer,kramera01,1990,1992,1,1991 - 1991,
27,Jeff,Kunkel,kunkeje01,1990,1992,1,1991 - 1991,
28,Joe,Magrane,magrajo01,1990,1992,1,1991 - 1991,
29,Greg,Mathews,mathegr01,1990,1992,1,1991 - 1991,
30,Lance,McCullers,mcculla01,1990,1992,1,1991 - 1991,
31,Clay,Parker,parkecl01,1990,1992,1,1991 - 1991,
32,Dennis,Powell,powelde01,1990,1992,1,1991 - 1991,
33,Tom,Quinlan,quinlto01,1990,1992,1,1991 - 1991,
34,Darren,Reed,reedda01,1990,1992,1,1991 - 1991,
35,Kevin,Baez,baezke01,1990,1992,1,1991 - 1991,
36,Steve,Springer,sprinst01,1990,1992,1,1991 - 1991,
37,Kevin,Wickander,wickake01,1990,1992,1,1991 - 1991,
38,Mark,Bailey,bailema01,1990,1992,1,1991 - 1991,
39,Jay,Baller,balleja01,1990,1992,1,1991 - 1991,
40,Rick,Wrona,wronari01,1990,1992,1,1991 - 1991,
