id,nameFirst,nameLast,playerID,last_seen_year,return_year,gap_years,gap_years_range,gap_details
1,Rowdy,Elliott,ellioro01,1910,1916,5,1911 - 1915,
2,Marcelino,Guerra,guerrma03,1910,1916,5,1911 - 1915,
3,Tubby,Spencer,spenctu01,1911,1916,4,1912 - 1915,
4,Fred,Beebe,beebefr01,1911,1916,4,1912 - 1915,
5,Roy,Corhan,corharo01,1911,1916,4,1912 - 1915,
6,Gene,Paulette,paulege01,1911,1916,4,1912 - 1915,
7,Clarence,Mitchell,mitchcl01,1911,1916,4,1912 - 1915,
8,Jack,Ness,nessja01,1911,1916,4,1912 - 1915,
9,John,Kelleher,kellejo02,1912,1916,3,1913 - 1915,
10,Jim,Bagby,bagbyji01,1912,1916,3,1913 - 1915,
11,Mike,Murphy,murphmi01,1912,1916,3,1913 - 1915,
12,Stan,Coveleski,covelst01,1912,1916,3,1913 - 1915,
13,Dave,Danforth,danfoda01,1912,1916,3,1913 - 1915,
14,Billy,Maharg,maharbi01,1912,1916,3,1913 - 1915,
15,Bruce,Hocker,hockebr01,1913,1916,2,1914 - 1915,
16,Arthur,Malette,maletar01,1913,1916,2,1914 - 1915,
17,Slim,Love,lovesl01,1913,1916,2,1914 - 1915,
18,George,Maisel,maisege01,1913,1916,2,1914 - 1915,
19,Ashby,Dunbar,dunbaas01,1913,1916,2,1914 - 1915,
20,Bill,McTigue,mctigbi01,1913,1916,2,1914 - 1915,
21,Billy,Meyer,meyerbi01,1913,1916,2,1914 - 1915,
22,Frank,Miller,millefr02,1913,1916,2,1914 - 1915,
23,Pop-boy,Smith,smithpo02,1913,1916,2,1914 - 1915,
24,Charley,Hall,hallch02,1913,1916,2,1914 - 1915,
25,Bill,Hobbs,hobbsbi01,1913,1916,2,1914 - 1915,
26,Angel,Aragon,aragoan01,1914,1916,1,1915 - 1915,
27,Home Run,Baker,bakerfr01,1914,1916,1,1915 - 1915,
28,George,Brown,brownge02,1914,1916,1,1915 - 1915,
29,Walton,Cruise,cruiswa01,1914,1916,1,1915 - 1915,
30,Bob,Coleman,colembo01,1914,1916,1,1915 - 1915,
31,Eric,Erickson,ericker01,1914,1916,1,1915 - 1915,
32,Joe,Gedeon,gedeojo01,1914,1916,1,1915 - 1915,
33,Gervasio,González,gonzage02,1914,1916,1,1915 - 1915,
34,Joe,Mathes,mathejo01,1914,1916,1,1915 - 1915,
35,Fred,McMullin,mcmulfr01,1914,1916,1,1915 - 1915,
36,Joe,Leonard,leonajo01,1914,1916,1,1915 - 1915,
37,Jimmy,Johnston,johnsji01,1914,1916,1,1915 - 1915,
38,Howard,Lohr,lohrho01,1914,1916,1,1915 - 1915,
39,Elmer,Jacobs,jacobel01,1914,1916,1,1915 - 1915,
40,Walter,Holke,holkewa01,1914,1916,1,1915 - 1915,
41,Harry,Heilmann,heilmha01,1914,1916,1,1915 - 1915,
42,George,Hale,halege01,1914,1916,1,1915 - 1915,
43,Johnny,Pugh,pughjo01,1914,1916,1,1915 - 1915,
44,William,Rumler,rumlewi01,1914,1916,1,1915 - 1915,
45,Joe,Kelly,kellyjo03,1914,1916,1,1915 - 1915,
46,Milo,Allison,allismi01,1914,1916,1,1915 - 1915,
47,Billy,Sullivan,sullibi03,1914,1916,1,1915 - 1915,
48,Candy Jim,Taylor,tayloca99,1914,1916,1,1915 - 1915,
49,Steel Arm Johnny,Taylor,taylost01,1914,1916,1,1915 - 1915,
50,Gunboat,Thompson,thompgu02,1914,1916,1,1915 - 1915,
51,Lefty,Williams,willile01,1914,1916,1,1915 - 1915,
52,Steamboat,Williams,willist01,1914,1916,1,1915 - 1915,
