id,nameFirst,nameLast,playerID,last_seen_year,return_year,gap_years,gap_years_range,gap_details
1,Chris,Richard,richach01,2003,2009,5,2004 - 2008,"2007 - Triple A, Durham Bulls, Tampa Bay Rays; 2008 - Triple A, Durham Bulls, International League All-Stars, Tampa Bay Rays"
2,Denny,Stark,starkde01,2004,2009,4,2005 - 2008,"2008 - Double-A, West Tenn Diamond Jaxx, Seattle Mariners; 2008 - Triple A, Tacoma Rainiers, Seattle Mariners"
3,Andres,Torres,torrean02,2005,2009,3,2006 - 2008,"2007 - Double-A, Erie SeaWolves, Detroit Tigers; 2007 - Triple A, Toledo Mud Hens, Detroit Tigers; 2008 - Triple A, Iowa Cubs, Chicago Cubs"
4,Eli,Whiteside,whiteel03,2005,2009,3,2006 - 2008,"2007 - Double-A, Bowie Baysox, Baltimore Orioles; 2007 - Triple A, Norfolk Tides, Baltimore Orioles; 2008 - Triple A, Fresno Grizzlies, Rochester Red Wings, Minnesota Twins, San Francisco Giants"
5,Randy,Williams,willira01,2005,2009,3,2006 - 2008,"2007 - Double-A, Frisco RoughRiders, Texas Rangers; 2007 - Triple A, Oklahoma RedHawks, Texas Rangers; 2008 - Triple A, Albuquerque Isotopes, Miami Marlins"
6,Mike,Burns,burnsmi01,2006,2009,2,2007 - 2008,"2007 - Triple A, Pawtucket Red Sox, Boston Red Sox; 2008 - Triple A, Iowa Cubs, Pacific Coast League All-Stars, Chicago Cubs"
7,Andy,Green,greenan01,2006,2009,2,2007 - 2008,"2008 - Triple A, Louisville Bats, New Orleans Zephyrs, Cincinnati Reds, New York Mets; 2007 - NPB, Hokkaido Nippon-Ham Fighters"
8,Justin,Lehr,lehrju01,2006,2009,2,2007 - 2008,"2007 - Triple A, Pacific Coast League All-Stars, Tacoma Rainiers, Seattle Mariners; 2008 - Triple A, Louisville Bats, Cincinnati Reds"
9,Roman,Colon,colonro01,2006,2009,2,2007 - 2008,"2007 - Double-A, Erie SeaWolves, Detroit Tigers; 2007 - Triple A, Omaha Royals, Toledo Mud Hens, Detroit Tigers, Kansas City Royals; 2008 - Double-A, Northwest Arkansas Naturals, Kansas City Royals; 2008 - Triple A, Omaha Royals, Kansas City Royals"
10,Kevin,Barker,barkeke01,2006,2009,2,2007 - 2008,"2007 - Triple A, Syracuse Chiefs, Toronto Blue Jays; 2008 - Triple A, Louisville Bats, Cincinnati Reds"
11,Kris,Benson,bensokr01,2006,2009,2,2007 - 2008,"2008 - Single A (Advanced), Clearwater Threshers, Philadelphia Phillies; 2008 - Triple A, Lehigh Valley IronPigs, Philadelphia Phillies"
12,Andres,Blanco,blancan01,2006,2009,2,2007 - 2008,"2007 - Triple A, Omaha Royals, Kansas City Royals; 2007 - Rookie, AZL Royals, Kansas City Royals; 2008 - Triple A, Iowa Cubs, Chicago Cubs"
13,Chris,Narveson,narvech01,2006,2009,2,2007 - 2008,"2007 - Single A (Advanced), Palm Beach Cardinals, St. Louis Cardinals; 2007 - Major League Baseball, Memphis Redbirds, St. Louis Cardinals; 2007 - Triple A, Memphis Redbirds, St. Louis Cardinals; 2008 - Triple A, Nashville Sounds, Milwaukee Brewers"
