id,nameFirst,nameLast,playerID,last_seen_year,return_year,gap_years,gap_years_range,gap_details
1,Pedro,Arango,arangpe01,1926,1935,8,1927 - 1934,
2,Cocaína,García,garcico01,1928,1935,6,1929 - 1934,
3,Alejandro,Oms,omsal01,1928,1935,6,1929 - 1934,
4,Earl,Caldwell,caldwea01,1928,1935,6,1929 - 1934,
5,Bubber,Jonnard,jonnabu01,1929,1935,5,1930 - 1934,
6,Heinie,Mueller,muellhe01,1929,1935,5,1930 - 1934,
7,Otis,Starks,starkot01,1929,1935,5,1930 - 1934,
8,Heliodoro,Díaz,diazhe01,1930,1935,4,1931 - 1934,
9,Johnny,Cooney,coonejo01,1930,1935,4,1931 - 1934,
10,Cando,López,lopezca02,1930,1935,4,1931 - 1934,
11,Luther,McDonald,mcdonlu01,1931,1935,3,1932 - 1934,
12,Pepper,Daniels,daniepe02,1931,1935,3,1932 - 1934,
13,Tony,Kaufmann,kaufmto01,1931,1935,3,1932 - 1934,
14,Mike,Kreevich,kreevmi01,1931,1935,3,1932 - 1934,
15,Hub,Walker,walkehu01,1931,1935,3,1932 - 1934,
16,Martin,Dihigo,dihigma99,1931,1935,3,1932 - 1934,
17,Al,Eckert,eckeral01,1931,1935,3,1932 - 1934,
18,Charlie,Gelbert,gelbech01,1932,1935,2,1933 - 1934,
19,Matt,Carlisle,carlima01,1932,1935,2,1933 - 1934,
20,Francisco,Correa,correfr01,1932,1935,2,1933 - 1934,
21,Fabian,Kowalik,kowalfa01,1932,1935,2,1933 - 1934,
22,Walter,Hilcher,hilchwh01,1932,1935,2,1933 - 1934,
23,Terris,McDuffie,mcdufte01,1932,1935,2,1933 - 1934,
24,Henry,Milton,miltohe01,1932,1935,2,1933 - 1934,
25,Boze,Berger,bergebo01,1932,1935,2,1933 - 1934,
26,Barney,Brown,brownba02,1932,1935,2,1933 - 1934,
27,Ray,Phelps,phelpra01,1932,1935,2,1933 - 1934,
28,Bob,Poser,poserbo01,1932,1935,2,1933 - 1934,
29,Bobby,Reis,reisbo01,1932,1935,2,1933 - 1934,
30,Nolen,Richardson,richano01,1932,1935,2,1933 - 1934,
31,Bill,Riggins,riggibi01,1932,1935,2,1933 - 1934,
32,Lázaro,Salazar,salazla01,1932,1935,2,1933 - 1934,
33,Jim,Brown,brownji04,1932,1935,2,1933 - 1934,
34,Fay,Thomas,thomafa01,1932,1935,2,1933 - 1934,
35,Luis,Tiant,tiantlu02,1932,1935,2,1933 - 1934,
36,Fermín,Valdés,valdefe01,1932,1935,2,1933 - 1934,
37,Elbert,Williams,williel01,1932,1935,2,1933 - 1934,
38,Zollie,Wright,wrighzo01,1932,1935,2,1933 - 1934,
39,Henry,McHenry,mchenhe01,1933,1935,1,1934 - 1934,
40,Frank,Demaree,demarfr02,1933,1935,1,1934 - 1934,
41,Lou,Dials,dialslo01,1933,1935,1,1934 - 1934,
42,Doc,Farrell,farredo01,1933,1935,1,1934 - 1934,
43,Robert,Gaston,gastoro01,1933,1935,1,1934 - 1934,
44,Joe,Glenn,glennjo02,1933,1935,1,1934 - 1934,
45,Bill,Harvey,harvebi01,1933,1935,1,1934 - 1934,
46,Roy,Henshaw,henshro01,1933,1935,1,1934 - 1934,
47,Leroy,Herrmann,herrmle01,1933,1935,1,1934 - 1934,
48,Gilly,Campbell,campbgi01,1933,1935,1,1934 - 1934,
49,Bill,Lewis,lewisbi01,1933,1935,1,1934 - 1934,
50,Billy,Sullivan,sullibi04,1933,1935,1,1934 - 1934,
51,Steve,Swetonic,swetost01,1933,1935,1,1934 - 1934,
52,Jerry,Benjamin,benjaje01,1933,1935,1,1934 - 1934,
53,Joe,Malay,malayjo01,1933,1935,1,1934 - 1934,
54,Quincy,Trouppe,troupqu01,1933,1935,1,1934 - 1934,
55,Rabbit,Maranville,maranra01,1933,1935,1,1934 - 1934,
56,Roxie,Lawson,lawsoro01,1933,1935,1,1934 - 1934,
57,Joe,Ware,warejo01,1933,1935,1,1934 - 1934,
58,Jumbo,Brown,brownju01,1933,1935,1,1934 - 1934,
59,Roy S.,Williams,williro02,1933,1935,1,1934 - 1934,
60,Charlie,Wilson,wilsoch02,1933,1935,1,1934 - 1934,
61,Tom,Winsett,winseto01,1933,1935,1,1934 - 1934,
62,Glenn,Wright,wrighgl01,1933,1935,1,1934 - 1934,
63,Spoon,Carter,cartesp01,1933,1935,1,1934 - 1934,
