id,nameFirst,nameLast,playerID,last_seen_year,return_year,gap_years,gap_years_range,gap_details
1,Jonny,Venters,ventejo01,2012,2018,5,2013 - 2017,"2016 - Class A Advanced, Charlotte Stone Crabs, Tampa Bay Rays; 2017 - Class A Advanced, Charlotte Stone Crabs, Tampa Bay Rays; 2017 - Double-A, Montgomery Biscuits, Tampa Bay Rays; 2017 - Triple-A, Durham Bulls, Tampa Bay Rays; 2017 - Rookie, GCL Rays, Tampa Bay Rays"
2,Rhiner,Cruz,cruzrh01,2013,2018,4,2014 - 2017,"2014 - Triple-A, Oklahoma City RedHawks, Houston Astros; 2016 - Triple-A, Leones de Yucatan, Vaqueros de la Laguna, Office of the Commissioner; 2016 - Winter Leagues, Gigantes del Cibao, Office of the Commissioner; 2017 - Triple-A, Gwinnett Braves, Atlanta Braves; 2017 - Winter Leagues, Gigantes del Cibao, Office of the Commissioner; 2014 - NPB, Tohoku Rakuten Golden Eagles; 2015 - NPB, Tohoku Rakuten Golden Eagles"
3,Ryan,Brasier,brasiry01,2013,2018,4,2014 - 2017,"2015 - Triple-A, Nashville Sounds, Oakland Athletics; 2015 - Rookie, AZL Athletics, Oakland Athletics; 2016 - Triple-A, Nashville Sounds, Oakland Athletics; 2017 - NPB, Hiroshima Toyo Carp"
4,Corban,Joseph,josepco01,2013,2018,4,2014 - 2017,"2014 - Triple-A, Scranton/Wilkes-Barre RailRiders, New York Yankees; 2015 - Double-A, Bowie Baysox, Mississippi Braves, Atlanta Braves, Baltimore Orioles; 2016 - Double-A, Bowie Baysox, Baltimore Orioles; 2016 - Triple-A, Norfolk Tides, Baltimore Orioles; 2017 - Double-A, Harrisburg Senators, Washington Nationals; 2017 - Triple-A, Syracuse Chiefs, Washington Nationals"
5,Mike,Zagurski,zagurmi01,2013,2018,4,2014 - 2017,"2014 - Triple-A, Buffalo Bisons, Columbus Clippers, Cleveland Guardians, Toronto Blue Jays; 2017 - Double-A, Erie SeaWolves, Detroit Tigers; 2017 - Triple-A, Toledo Mud Hens, Detroit Tigers; 2015 - NPB, Hiroshima Toyo Carp; 2016 - NPB, Yokohama DeNA Baystars"
6,Burch,Smith,smithbu03,2013,2018,4,2014 - 2017,"2014 - Triple-A, El Paso Chihuahuas, San Diego Padres; 2014 - Winter Leagues, AFL West Fall Stars, Surprise Saguaros, Office of the Commissioner; 2017 - Class A Advanced, Charlotte Stone Crabs, Tampa Bay Rays; 2017 - Triple-A, Durham Bulls, Tampa Bay Rays; 2017 - Rookie, GCL Rays, Tampa Bay Rays; 2017 - Winter Leagues, Surprise Saguaros, Office of the Commissioner"
7,Brandon,Cumpton,cumptbr01,2014,2018,3,2015 - 2017,"2017 - Class A Advanced, Bradenton Marauders, Pittsburgh Pirates; 2017 - Double-A, Altoona Curve, Pittsburgh Pirates; 2017 - Triple-A, Indianapolis Indians, Pittsburgh Pirates"
8,Dan,Butler,butleda01,2014,2018,3,2015 - 2017,"2015 - Triple-A, Syracuse Chiefs, Washington Nationals; 2016 - Triple-A, Pawtucket Red Sox, Boston Red Sox; 2017 - Triple-A, Pawtucket Red Sox, Boston Red Sox"
9,Tim,Collins,colliti01,2014,2018,3,2015 - 2017,"2017 - Class A Advanced, Potomac Nationals, Washington Nationals; 2017 - Double-A, Harrisburg Senators, Washington Nationals; 2017 - Rookie, GCL Nationals, Washington Nationals"
10,Daniel,Corcino,corcida01,2014,2018,3,2015 - 2017,"2015 - Double-A, Pensacola Blue Wahoos, Tulsa Drillers, Cincinnati Reds, Los Angeles Dodgers; 2015 - Winter Leagues, Leones del Escogido, Office of the Commissioner; 2016 - Class A Advanced, Rancho Cucamonga Quakes, Los Angeles Dodgers; 2016 - Double-A, Tulsa Drillers, Los Angeles Dodgers; 2016 - Triple-A, Oklahoma City Dodgers, Los Angeles Dodgers; 2016 - Winter Leagues, Leones del Escogido, Office of the Commissioner; 2017 - Class A Advanced, Rancho Cucamonga Quakes, Los Angeles Dodgers; 2017 - Double-A, Tennessee Smokies, Tulsa Drillers, Chicago Cubs, Los Angeles Dodgers; 2017 - Winter Leagues, Leones del Escogido, Office of the Commissioner"
