id,nameFirst,nameLast,playerID,last_seen_year,return_year,gap_years,gap_years_range,gap_details
1,Vern,Benson,bensove01,1946,1951,4,1947 - 1950,
2,Don,Richmond,richmdo01,1947,1951,3,1948 - 1950,
3,Bob,Boyd,boydbo01,1948,1951,2,1949 - 1950,
4,Clyde,King,kingcl01,1948,1951,2,1949 - 1950,
5,Johnny,Bero,berojo01,1948,1951,2,1949 - 1950,
6,Jim,Blackburn,blackji01,1948,1951,2,1949 - 1950,
7,Luis,Marquez,marqulu01,1948,1951,2,1949 - 1950,
8,Clyde,Kluttz,kluttcl01,1948,1951,2,1949 - 1950,
9,Sam,Hairston,hairssa01,1948,1951,2,1949 - 1950,
10,Don,Carlsen,carlsdo01,1948,1951,2,1949 - 1950,
11,Alex,Konikowski,konikal01,1948,1951,2,1949 - 1950,
12,Phil,Haugstad,haugsph01,1948,1951,2,1949 - 1950,
13,Sam,Jones,jonessa02,1948,1951,2,1949 - 1950,
14,Willie,Mays,mayswi01,1948,1951,2,1949 - 1950,
15,Ray,Noble,noblera01,1948,1951,2,1949 - 1950,
16,Lou,Possehl,posselo01,1948,1951,2,1949 - 1950,
17,Bobby,Young,youngbo01,1948,1951,2,1949 - 1950,
18,Harry,Simpson,simpsha01,1948,1951,2,1949 - 1950,
19,Artie,Wilson,wilsoar02,1948,1951,2,1949 - 1950,
20,Bill,Evans,evansbi02,1949,1951,1,1950 - 1950,
21,Al,Gettel,getteal01,1949,1951,1,1950 - 1950,
22,Bert,Haas,haasbe01,1949,1951,1,1950 - 1950,
23,Bubba,Harris,harribu02,1949,1951,1,1950 - 1950,
24,Lou,Klein,kleinlo01,1949,1951,1,1950 - 1950,
25,Kurt,Krieger,kriegku01,1949,1951,1,1950 - 1950,
26,Mickey,Livingston,livinmi01,1949,1951,1,1950 - 1950,
27,Clarence,Maddern,maddecl01,1949,1951,1,1950 - 1950,
28,Fred,Marsh,marshfr01,1949,1951,1,1950 - 1950,
29,Morrie,Martin,martimo01,1949,1951,1,1950 - 1950,
30,Frank,Baumholtz,baumhfr01,1949,1951,1,1950 - 1950,
31,Cal,McLish,mclisca01,1949,1951,1,1950 - 1950,
32,Irv,Medlinger,medliir01,1949,1951,1,1950 - 1950,
33,George,Metkovich,metkoca01,1949,1951,1,1950 - 1950,
34,Minnie,Minoso,minosmi01,1949,1951,1,1950 - 1950,
35,Bob,Muncrief,muncrbo01,1949,1951,1,1950 - 1950,
36,Milt,Nielsen,nielsmi01,1949,1951,1,1950 - 1950,
37,Roger,Bowman,bowmaro01,1949,1951,1,1950 - 1950,
38,Satchel,Paige,paigesa01,1949,1951,1,1950 - 1950,
39,Eddie,Pellagrini,pellaed01,1949,1951,1,1950 - 1950,
40,Monty,Basgall,basgamo01,1949,1951,1,1950 - 1950,
41,Wally,Post,postwa01,1949,1951,1,1950 - 1950,
42,Smoky,Burgess,burgesm01,1949,1951,1,1950 - 1950,
43,Dino,Restelli,restedi01,1949,1951,1,1950 - 1950,
44,Chuck,Connors,connoch01,1949,1951,1,1950 - 1950,
45,Ed,Sanicki,saniced01,1949,1951,1,1950 - 1950,
46,Spec,Shea,sheasp01,1949,1951,1,1950 - 1950,
47,Tod,Davis,davisto01,1949,1951,1,1950 - 1950,
48,Earl,Rapp,rappea01,1949,1951,1,1950 - 1950,
49,Don,Thompson,thompdo01,1949,1951,1,1950 - 1950,
50,Del,Wilber,wilbede01,1949,1951,1,1950 - 1950,
51,Davey,Williams,willida03,1949,1951,1,1950 - 1950,
52,Karl,Drews,drewska01,1949,1951,1,1950 - 1950,
53,Jim,Wilson,wilsoji02,1949,1951,1,1950 - 1950,
54,Bud,Souchock,souchst01,1949,1951,1,1950 - 1950,
