id,nameFirst,nameLast,playerID,last_seen_year,return_year,gap_years,gap_years_range,gap_details
1,Jim,Tyng,tyngji01,1879,1888,8,1880 - 1887,
2,Gus,Alberts,albergu01,1884,1888,3,1885 - 1887,
3,Wally,Andrews,andrewa01,1884,1888,3,1885 - 1887,
4,Jersey,Bakley,bakelje01,1884,1888,3,1885 - 1887,
5,Elmer,Cleveland,cleveel01,1884,1888,3,1885 - 1887,
6,Henry,Easterday,eastehe01,1884,1888,3,1885 - 1887,
7,John,Ewing,ewingjo01,1884,1888,3,1885 - 1887,
8,Jay,Faatz,faatzja01,1884,1888,3,1885 - 1887,
9,John,Peltz,peltzjo01,1884,1888,3,1885 - 1887,
10,Jumbo,Schoeneck,schoeju01,1884,1888,3,1885 - 1887,
11,Mike,Slattery,slattmi01,1884,1888,3,1885 - 1887,
12,Perry,Werden,werdepe01,1884,1888,3,1885 - 1887,
13,Jack,Brennan,brennji01,1885,1888,2,1886 - 1887,
14,Cal,Broughton,brougca01,1885,1888,2,1886 - 1887,
15,Monk,Cline,clinemo01,1885,1888,2,1886 - 1887,
16,Eddie,Fusselback,fusseed01,1885,1888,2,1886 - 1887,
17,Mike,Hines,hinesmi01,1885,1888,2,1886 - 1887,
18,Miah,Murray,murrami01,1885,1888,2,1886 - 1887,
19,Elmer,Sutcliffe,sutclsy01,1885,1888,2,1886 - 1887,
20,John,Tener,tenerjo01,1885,1888,2,1886 - 1887,
21,Ned,Bligh,blighne01,1886,1888,1,1887 - 1887,
22,George,Bradley,bradlge01,1886,1888,1,1887 - 1887,
23,Ed,Crane,craneed01,1886,1888,1,1887 - 1887,
24,Tom,Dolan,dolanto01,1886,1888,1,1887 - 1887,
25,Elmer,Foster,fosteel01,1886,1888,1,1887 - 1887,
26,Ed,Glenn,glenned01,1886,1888,1,1887 - 1887,
27,Walt,Goldsby,goldswa02,1886,1888,1,1887 - 1887,
28,Joe,Quinn,quinnjo02,1886,1888,1,1887 - 1887,
29,Dave,Rowe,roweda01,1886,1888,1,1887 - 1887,
30,Pop,Schriver,schripo01,1886,1888,1,1887 - 1887,
31,Tom,Sullivan,sullito01,1886,1888,1,1887 - 1887,
32,Farmer,Vaughn,vaughfa01,1886,1888,1,1887 - 1887,
