id,nameFirst,nameLast,playerID,last_seen_year,return_year,gap_years,gap_years_range,gap_details
1,Joe,Quest,questjo01,1871,1878,6,1872 - 1877,
2,Joe,Ellick,ellicjo01,1875,1878,2,1876 - 1877,
3,Silver,Flint,flintsi01,1875,1878,2,1876 - 1877,
4,Billy,Geer,geerbi01,1875,1878,2,1876 - 1877,
5,Mike,Golden,goldemi01,1875,1878,2,1876 - 1877,
6,Jake,Knodell,knowdja01,1875,1878,2,1876 - 1877,
7,Pidgey,Morgan,morgapi01,1875,1878,2,1876 - 1877,
8,Candy,Nelson,nelsoca01,1875,1878,2,1876 - 1877,
9,Sam,Weaver,weavesa01,1875,1878,2,1876 - 1877,
10,Dick,Higham,highadi01,1876,1878,1,1877 - 1877,
11,Bill,Holbert,holbebi01,1876,1878,1,1877 - 1877,
12,Charlie,Sweasy,sweasch01,1876,1878,1,1877 - 1877,
13,Fred,Warner,warnefr01,1876,1878,1,1877 - 1877,
