id,nameFirst,nameLast,playerID,last_seen_year,return_year,gap_years,gap_years_range,gap_details
1,Efrain,Valdez,valdeef01,1991,1998,6,1992 - 1997,
2,Rico,Rossy,rossyri01,1993,1998,4,1994 - 1997,
3,Paul,Abbott,abbotpa01,1993,1998,4,1994 - 1997,
4,Frank,Bolick,bolicfr01,1993,1998,4,1994 - 1997,
5,Jon,Shave,shavejo01,1993,1998,4,1994 - 1997,
6,Brian,Shouse,shousbr01,1993,1998,4,1994 - 1997,
7,Dave,Stieb,stiebda01,1993,1998,4,1994 - 1997,
8,Rod,Henderson,hendero01,1994,1998,3,1995 - 1997,
9,Mark,Dalesandro,dalesma01,1995,1998,2,1996 - 1997,
10,Jeff,Barry,barryje01,1995,1998,2,1996 - 1997,
11,Ray,Holbert,holbera01,1995,1998,2,1996 - 1997,
12,Dave,Eiland,eilanda01,1995,1998,2,1996 - 1997,
13,Bill,Pulsipher,pulsibi01,1995,1998,2,1996 - 1997,
14,Rudy,Seanez,seaneru01,1995,1998,2,1996 - 1997,
15,Chris,Tremie,tremich01,1995,1998,2,1996 - 1997,
16,Carlos,Valdez,valdeca01,1995,1998,2,1996 - 1997,
17,Derrick,White,whitede04,1995,1998,2,1996 - 1997,
18,Rick,White,whiteri01,1995,1998,2,1996 - 1997,
19,Reggie,Williams,willire02,1995,1998,2,1996 - 1997,
20,Todd,Williams,willito02,1995,1998,2,1996 - 1997,
21,Trevor,Wilson,wilsotr01,1995,1998,2,1996 - 1997,
22,Terry,Jones,joneste02,1996,1998,1,1997 - 1997,
23,Gene,Kingsale,kingsge01,1996,1998,1,1997 - 1997,
24,Scott,Klingenbeck,klingsc01,1996,1998,1,1997 - 1997,
25,Andy,Larkin,larkian01,1996,1998,1,1997 - 1997,
26,Torey,Lovullo,lovulto01,1996,1998,1,1997 - 1997,
27,Matt,Luke,lukema01,1996,1998,1,1997 - 1997,
28,Matt,Mantei,mantema01,1996,1998,1,1997 - 1997,
29,Manny,Martinez,martima02,1996,1998,1,1997 - 1997,
30,Dave,McCarty,mccarda01,1996,1998,1,1997 - 1997,
31,Trever,Miller,milletr02,1996,1998,1,1997 - 1997,
32,Scott,Leius,leiussc01,1996,1998,1,1997 - 1997,
33,C. J.,Nitkowski,nitkocj01,1996,1998,1,1997 - 1997,
34,Trot,Nixon,nixontr01,1996,1998,1,1997 - 1997,
35,Steve,Parris,parrist01,1996,1998,1,1997 - 1997,
36,Brad,Pennington,pennibr01,1996,1998,1,1997 - 1997,
37,Chris,Pritchett,pritcch01,1996,1998,1,1997 - 1997,
38,Jim,Abbott,abbotji01,1996,1998,1,1997 - 1997,
39,Keith,Mitchell,mitchke02,1996,1998,1,1997 - 1997,
40,Bob,Scanlan,scanlbo01,1996,1998,1,1997 - 1997,
41,Brian,Barber,barbebr02,1996,1998,1,1997 - 1997,
42,Gary,Bennett,bennega01,1996,1998,1,1997 - 1997,
43,Scott,Brow,browsc01,1996,1998,1,1997 - 1997,
44,Joe,Siddall,siddajo01,1996,1998,1,1997 - 1997,
45,Steve,Sparks,sparkst01,1996,1998,1,1997 - 1997,
46,Bobby,Chouinard,chouibo01,1996,1998,1,1997 - 1997,
47,Mac,Suzuki,suzukma01,1996,1998,1,1997 - 1997,
48,Jim,Tatum,tatumji01,1996,1998,1,1997 - 1997,"1997 - NPB, Yakult Swallows"
49,Milt,Cuyler,cuylemi01,1996,1998,1,1997 - 1997,
50,Jim,Dougherty,doughji01,1996,1998,1,1997 - 1997,
51,Lou,Frazier,frazilo01,1996,1998,1,1997 - 1997,
52,Pedro,Valdes,valdepe01,1996,1998,1,1997 - 1997,
53,Todd,Van Poppel,vanpoto01,1996,1998,1,1997 - 1997,
54,Ben,VanRyn,vanrybe01,1996,1998,1,1997 - 1997,
55,David,West,westda01,1996,1998,1,1997 - 1997,"1997 - NPB, Fukuoka Daiei Hawks"
56,Todd,Haney,haneyto01,1996,1998,1,1997 - 1997,
57,Dean,Hartgraves,hartgde01,1996,1998,1,1997 - 1997,
58,Gil,Heredia,heredgi01,1996,1998,1,1997 - 1997,
59,Brian,Hunter,huntebr01,1996,1998,1,1997 - 1997,
60,Doug,Johns,johnsdo04,1996,1998,1,1997 - 1997,
61,Brad,Woodall,woodabr01,1996,1998,1,1997 - 1997,
62,Jon,Zuber,zuberjo01,1996,1998,1,1997 - 1997,
