id,nameFirst,nameLast,playerID,last_seen_year,return_year,gap_years,gap_years_range,gap_details
1,Bill,McClellan,mcclebi01,1878,1881,2,1879 - 1880,
2,The Only,Nolan,nolanth01,1878,1881,2,1879 - 1880,
3,Lip,Pike,pikeli01,1878,1881,2,1879 - 1880,
4,Ross,Barnes,barnero01,1879,1881,1,1880 - 1880,
5,Lew,Brown,brownle01,1879,1881,1,1880 - 1880,
6,Herm,Doscher,doschhe01,1879,1881,1,1880 - 1880,
7,Will,Foley,foleywi01,1879,1881,1,1880 - 1880,
8,Joe,Gerhardt,gerhajo01,1879,1881,1,1880 - 1880,
9,Rudy,Kemmler,kemmlru01,1879,1881,1,1880 - 1880,
10,Bobby,Mathews,mathebo01,1879,1881,1,1880 - 1880,
11,Harry,McCormick,mccorha01,1879,1881,1,1880 - 1880,
12,Candy,Nelson,nelsoca01,1879,1881,1,1880 - 1880,
13,Jack,Remsen,remseja01,1879,1881,1,1880 - 1880,
14,Pop,Snyder,snydepo01,1879,1881,1,1880 - 1880,
