id,nameFirst,nameLast,playerID,last_seen_year,return_year,gap_years,gap_years_range,gap_details
1,George,Hogreiver,hogrige01,1895,1901,5,1896 - 1900,
2,Frank,Genins,geninfr01,1895,1901,5,1896 - 1900,
3,Frank,Foreman,foremfr01,1896,1901,4,1897 - 1900,
4,Harley,Parker,parkedo01,1896,1901,4,1897 - 1900,
5,Bill,Fox,foxbi01,1897,1901,3,1898 - 1900,
6,Chauncey,Fisher,fishech04,1897,1901,3,1898 - 1900,
7,Jim,Jones,jonesji01,1897,1901,3,1898 - 1900,
8,Dale,Gear,gearda01,1897,1901,3,1898 - 1900,
9,Roger,Denzer,denzero01,1897,1901,3,1898 - 1900,
10,Billy,Lush,lushbi01,1897,1901,3,1898 - 1900,
11,Ollie,Pickering,pickeol01,1897,1901,3,1898 - 1900,
12,Frank,Shugart,shugafr01,1897,1901,3,1898 - 1900,
13,Kitty,Bransfield,branski01,1898,1901,2,1899 - 1900,
14,Frank,Isbell,isbelfr01,1898,1901,2,1899 - 1900,
15,Charlie,Carr,carrch01,1898,1901,2,1899 - 1900,
16,Frank,Gatins,gatinfr01,1898,1901,2,1899 - 1900,
17,Bill,Hallman,hallmbi01,1898,1901,2,1899 - 1900,
18,Russ,Hall,hallru01,1898,1901,2,1899 - 1900,
19,Bill,Duggleby,dugglbi01,1898,1901,2,1899 - 1900,
20,Bill,Hart,hartbi01,1898,1901,2,1899 - 1900,
21,Tom,Leahy,leahyto01,1898,1901,2,1899 - 1900,
22,Jimmy,McAleer,mcaleji01,1898,1901,2,1899 - 1900,
23,Herm,McFarland,mcfarhe01,1898,1901,2,1899 - 1900,
24,Ed,Murphy,murphed01,1898,1901,2,1899 - 1900,
25,William,Nance,nancedo01,1898,1901,2,1899 - 1900,
26,Joe,Rickert,rickejo01,1898,1901,2,1899 - 1900,
27,Amos,Rusie,rusieam01,1898,1901,2,1899 - 1900,
28,Jud,Smith,smithju01,1898,1901,2,1899 - 1900,
29,Emil,Frisk,friskem01,1899,1901,1,1900 - 1900,
30,Dave,Fultz,fultzda01,1899,1901,1,1900 - 1900,
31,Fred,Hartman,hartmfr01,1899,1901,1,1900 - 1900,
32,Charlie,Hemphill,hemphch01,1899,1901,1,1900 - 1900,
33,Mike,Heydon,heydomi01,1899,1901,1,1900 - 1900,
34,Bill,Hoffer,hoffebi01,1899,1901,1,1900 - 1900,
35,Ducky,Holmes,holmedu01,1899,1901,1,1900 - 1900,
36,Billy,Hoy,hoydu01,1899,1901,1,1900 - 1900,
37,Jay,Hughes,hugheja01,1899,1901,1,1900 - 1900,
38,Jack,Katoll,katolja01,1899,1901,1,1900 - 1900,
39,Fred,Ketchum,ketchfr01,1899,1901,1,1900 - 1900,
40,Malachi,Kittridge,kittrma01,1899,1901,1,1900 - 1900,
41,George,LaChance,lachaca01,1899,1901,1,1900 - 1900,
42,Billy,Lauder,laudebi01,1899,1901,1,1900 - 1900,
43,Erve,Beck,becker01,1899,1901,1,1900 - 1900,
44,Harry,Lochhead,lochhha01,1899,1901,1,1900 - 1900,
45,Steve,Brodie,brodist01,1899,1901,1,1900 - 1900,
46,Bill,Magee,mageebi01,1899,1901,1,1900 - 1900,
47,George,Magoon,magooge01,1899,1901,1,1900 - 1900,
48,Jimmy,Burke,burkeji01,1899,1901,1,1900 - 1900,
49,Sport,McAllister,mcallsp01,1899,1901,1,1900 - 1900,
50,Kid,Carsey,carseki01,1899,1901,1,1900 - 1900,
51,James,McJames,mcjamdo01,1899,1901,1,1900 - 1900,
52,Bill,Coughlin,coughbi01,1899,1901,1,1900 - 1900,
53,Harry,Croft,croftha01,1899,1901,1,1900 - 1900,
54,Jack,O'Brien,obrieja02,1899,1901,1,1900 - 1900,
55,Dick,Padden,paddedi01,1899,1901,1,1900 - 1900,
56,Freddy,Parent,parenfr01,1899,1901,1,1900 - 1900,
57,John,Anderson,anderjo01,1899,1901,1,1900 - 1900,
58,Bill,Phyle,phylebi01,1899,1901,1,1900 - 1900,
59,Harry,Davis,davisha01,1899,1901,1,1900 - 1900,
60,Doc,Powers,powerdo01,1899,1901,1,1900 - 1900,
61,Bill,Reidy,reidybi01,1899,1901,1,1900 - 1900,
62,Tommy,Dowd,dowdto01,1899,1901,1,1900 - 1900,
63,Pete,Dowling,dowlipe01,1899,1901,1,1900 - 1900,
64,Jack,Ryan,ryanja01,1899,1901,1,1900 - 1900,
65,Frank,Scheibeck,scheifr01,1899,1901,1,1900 - 1900,
66,Crazy,Schmit,schmicr01,1899,1901,1,1900 - 1900,
67,Ossee,Schrecongost,schreos01,1899,1901,1,1900 - 1900,
68,Socks,Seybold,seyboso01,1899,1901,1,1900 - 1900,
69,Kid,Elberfeld,elberki01,1899,1901,1,1900 - 1900,
70,George,Smith,smithhe01,1899,1901,1,1900 - 1900,
71,Jack,Cronin,cronija01,1899,1901,1,1900 - 1900,
72,Tully,Sparks,sparktu01,1899,1901,1,1900 - 1900,
73,Joe,Sugden,sugdejo01,1899,1901,1,1900 - 1900,
74,Jack,Sutthoff,sutthja01,1899,1901,1,1900 - 1900,
75,George,Yeager,yeagege01,1899,1901,1,1900 - 1900,
