id,nameFirst,nameLast,playerID,last_seen_year,return_year,gap_years,gap_years_range,gap_details
1,Myron,Allen,allenmy01,1883,1886,2,1884 - 1885,
2,Frank,Diven,devinji01,1883,1886,2,1884 - 1885,
3,Billy,Barnie,barnibi01,1883,1886,2,1884 - 1885,
4,Charlie,Kelly,kellych01,1883,1886,2,1884 - 1885,
5,Lee,Richmond,richmle01,1883,1886,2,1884 - 1885,
6,Phil,Baker,bakerph01,1884,1886,1,1885 - 1885,
7,Bob,Barr,barrbo01,1884,1886,1,1885 - 1885,
8,Al,Bauer,baueral01,1884,1886,1,1885 - 1885,
9,Steve,Behel,behelst01,1884,1886,1,1885 - 1885,
10,George,Bradley,bradlge01,1884,1886,1,1885 - 1885,
11,Jim,Brown,brownji01,1884,1886,1,1885 - 1885,
12,Ernie,Burch,burcher01,1884,1886,1,1885 - 1885,
13,John,Cahill,cahiljo01,1884,1886,1,1885 - 1885,
14,Bill,Conway,conwabi01,1884,1886,1,1885 - 1885,
15,Paul,Cook,cookpa01,1884,1886,1,1885 - 1885,
16,Jumbo,Davis,davisju01,1884,1886,1,1885 - 1885,
17,Harry,Decker,deckeha01,1884,1886,1,1885 - 1885,
18,Bones,Ely,elybo01,1884,1886,1,1885 - 1885,
19,Joe,Farrell,farrejo01,1884,1886,1,1885 - 1885,
20,John,Fox,foxjo01,1884,1886,1,1885 - 1885,
21,Chris,Fulmer,fulmech02,1884,1886,1,1885 - 1885,
22,Tom,Gillen,gilleto01,1884,1886,1,1885 - 1885,
23,Buck,Gladmon,gladmbu01,1884,1886,1,1885 - 1885,
24,Ed,Glenn,glenned01,1884,1886,1,1885 - 1885,
25,Walt,Goldsby,goldswa02,1884,1886,1,1885 - 1885,
26,Lou,Hardie,hardilo01,1884,1886,1,1885 - 1885,
27,William,Hoover,hoovebu01,1884,1886,1,1885 - 1885,
28,John,Irwin,irwinjo01,1884,1886,1,1885 - 1885,
29,Al,Atkinson,atkinal01,1884,1886,1,1885 - 1885,
30,Jimmy,Knowles,knowlji01,1884,1886,1,1885 - 1885,
31,Chippy,McGarr,mcgarch01,1884,1886,1,1885 - 1885,
32,Cyclone,Miller,millecy01,1884,1886,1,1885 - 1885,
33,Tony,Mullane,mullato01,1884,1886,1,1885 - 1885,
34,Abner,Powell,powelab01,1884,1886,1,1885 - 1885,
35,Jake,Aydelott,aydelja01,1884,1886,1,1885 - 1885,
36,Tom,Sullivan,sullito01,1884,1886,1,1885 - 1885,
37,Lou,Sylvester,sylvelo01,1884,1886,1,1885 - 1885,
38,Sam,Weaver,weavesa01,1884,1886,1,1885 - 1885,
39,Joe,Werrick,werrijo01,1884,1886,1,1885 - 1885,
40,Bill,White,whitebi02,1884,1886,1,1885 - 1885,
41,Bill,Wise,wisebi01,1884,1886,1,1885 - 1885,
42,Charles,Zimmer,zimmech01,1884,1886,1,1885 - 1885,
