id,nameFirst,nameLast,playerID,last_seen_year,return_year,gap_years,gap_years_range,gap_details
1,Ron,Tompkins,tompkro01,1965,1971,5,1966 - 1970,
2,Larry,Bearnarth,bearnla01,1966,1971,4,1967 - 1970,
3,Al,Closter,clostal01,1966,1971,4,1967 - 1970,
4,Tom,Kelley,kelleto01,1967,1971,3,1968 - 1970,
5,Charlie,Sands,sandsch01,1967,1971,3,1968 - 1970,
6,Bill,Denehy,denehbi01,1968,1971,2,1969 - 1970,
7,Ramon,Hernandez,hernara01,1968,1971,2,1969 - 1970,
8,Darrell,Brandon,brandbu01,1969,1971,1,1970 - 1970,
9,Jim,Breazeale,breazji01,1969,1971,1,1970 - 1970,
10,Danny,Breeden,breedda01,1969,1971,1,1970 - 1970,
11,Jim,Britton,brittji02,1969,1971,1,1970 - 1970,
12,Frank,Brosseau,brossfr01,1969,1971,1,1970 - 1970,
13,Rickey,Clark,clarkri01,1969,1971,1,1970 - 1970,
14,Ron,Clark,clarkro02,1969,1971,1,1970 - 1970,
15,Bobby,Darwin,darwibo01,1969,1971,1,1970 - 1970,
16,Carlton,Fisk,fiskca01,1969,1971,1,1970 - 1970,
17,Curt,Flood,floodcu01,1969,1971,1,1970 - 1970,
18,Skip,Guinn,guinnsk01,1969,1971,1,1970 - 1970,
19,Toby,Harrah,harrato01,1969,1971,1,1970 - 1970,
20,Chuck,Harrison,harrich02,1969,1971,1,1970 - 1970,
21,Fran,Healy,healyfr02,1969,1971,1,1970 - 1970,
22,Mike,Garman,garmami01,1969,1971,1,1970 - 1970,
23,Garry,Jestadt,jestaga01,1969,1971,1,1970 - 1970,
24,Dick,Kelley,kelledi01,1969,1971,1,1970 - 1970,
25,Frank,Baker,bakerfr02,1969,1971,1,1970 - 1970,
26,Angel,Mangual,manguan01,1969,1971,1,1970 - 1970,
27,Dave,McDonald,mcdonda01,1969,1971,1,1970 - 1970,
28,Tony,Muser,muserto01,1969,1971,1,1970 - 1970,
29,Dennis,Paepke,paepkde01,1969,1971,1,1970 - 1970,
30,Bobby,Pfeil,pfeilbo01,1969,1971,1,1970 - 1970,
31,Bob,Reynolds,reynobo01,1969,1971,1,1970 - 1970,
32,Ron,Blomberg,blombro01,1969,1971,1,1970 - 1970,
33,Richie,Scheinblum,scheiri01,1969,1971,1,1970 - 1970,
34,Al,Severinsen,several01,1969,1971,1,1970 - 1970,
35,Don,Shaw,shawdo01,1969,1971,1,1970 - 1970,
36,Tom,Shopay,shopato01,1969,1971,1,1970 - 1970,
37,Ed,Sprague,spraged01,1969,1971,1,1970 - 1970,
38,Ken,Suarez,suareke01,1969,1971,1,1970 - 1970,
39,Len,Boehmer,boehmle01,1969,1971,1,1970 - 1970,
40,Cecil,Upshaw,upshace01,1969,1971,1,1970 - 1970,
41,Bobby,Valentine,valenbo02,1969,1971,1,1970 - 1970,
42,Zoilo,Versalles,versazo01,1969,1971,1,1970 - 1970,
43,Chris,Zachary,zachach02,1969,1971,1,1970 - 1970,
