id,nameFirst,nameLast,playerID,last_seen_year,return_year,gap_years,gap_years_range,gap_details
1,Brent,Knackert,knackbr01,1990,1996,5,1991 - 1995,
2,Ramon,Garcia,garcira03,1991,1996,4,1992 - 1995,
3,Stacy,Jones,jonesst02,1991,1996,4,1992 - 1995,
4,Rick,Schu,schuri01,1991,1996,4,1992 - 1995,"1993 - NPB, Nippon-Ham Fighters; 1994 - NPB, Nippon-Ham Fighters"
5,Reggie,Harris,harrire01,1991,1996,4,1992 - 1995,
6,Jack,Howell,howelja02,1991,1996,4,1992 - 1995,"1992 - NPB, Yakult Swallows; 1993 - NPB, Yakult Swallows; 1994 - NPB, Yakult Swallows; 1995 - NPB, Yomiuri Giants"
7,Archie,Corbin,corbiar01,1991,1996,4,1992 - 1995,
8,Miguel,Batista,batismi01,1992,1996,3,1993 - 1995,
9,Mel,Hall,hallme01,1992,1996,3,1993 - 1995,"1993 - NPB, Chiba Lotte Marines; 1994 - NPB, Chiba Lotte Marines; 1995 - NPB, Chunichi Dragons"
10,Barry,Manuel,manueba01,1992,1996,3,1993 - 1995,
11,Rich,Sauveur,sauveri01,1992,1996,3,1993 - 1995,
12,Lee,Stevens,stevele01,1992,1996,3,1993 - 1995,"1994 - NPB, Kintetsu Buffaloes; 1995 - NPB, Kintetsu Buffaloes"
13,Pat,Lennon,lennopa01,1992,1996,3,1993 - 1995,
14,Scott,Aldred,aldresc01,1993,1996,2,1994 - 1995,
15,Rich,Batchelor,batchri01,1993,1996,2,1994 - 1995,
16,Joe,Klink,klinkjo01,1993,1996,2,1994 - 1995,
17,Oreste,Marrero,marreor01,1993,1996,2,1994 - 1995,
18,Tim,McIntosh,mcintti01,1993,1996,2,1994 - 1995,"1995 - NPB, Nippon-Ham Fighters"
19,Jerry,Brooks,brookje01,1993,1996,2,1994 - 1995,
20,Huck,Flener,flenehu01,1993,1996,2,1994 - 1995,
21,Casey,Candaele,candaca01,1993,1996,2,1994 - 1995,
22,Dan,Peltier,peltida01,1993,1996,2,1994 - 1995,
23,Kurt,Stillwell,stillku01,1993,1996,2,1994 - 1995,
24,Julio,Valera,valerju01,1993,1996,2,1994 - 1995,
25,Doug,Dascenzo,dascedo01,1993,1996,2,1994 - 1995,
26,Dave,Wainhouse,wainhda01,1993,1996,2,1994 - 1995,
27,Rob,Deer,deerro01,1993,1996,2,1994 - 1995,"1994 - NPB, Hanshin Tigers"
28,Kim,Batiste,batiski01,1994,1996,1,1995 - 1995,
29,Kent,Bottenfield,botteke01,1994,1996,1,1995 - 1995,
30,Rafael,Bournigal,bournra01,1994,1996,1,1995 - 1995,
31,Scott,Brow,browsc01,1994,1996,1,1995 - 1995,
32,Cris,Carpenter,carpecr01,1994,1996,1,1995 - 1995,
33,Steve,Cooke,cookest01,1994,1996,1,1995 - 1995,
34,Jeff,Darwin,darwije01,1994,1996,1,1995 - 1995,
35,Eric,Davis,daviser01,1994,1996,1,1995 - 1995,
36,Mike,Campbell,campbmi01,1994,1996,1,1995 - 1995,
37,Brian,Dorsett,dorsebr01,1994,1996,1,1995 - 1995,
38,Darren,Dreifort,dreifda01,1994,1996,1,1995 - 1995,
39,Mark,Eichhorn,eichhma01,1994,1996,1,1995 - 1995,
40,Julio,Franco,francju01,1994,1996,1,1995 - 1995,"1995 - NPB, Chiba Lotte Marines"
41,Todd,Frohwirth,frohwto01,1994,1996,1,1995 - 1995,
42,Paul,Gibson,gibsopa01,1994,1996,1,1995 - 1995,
43,Dwight,Gooden,goodedw01,1994,1996,1,1995 - 1995,
44,Ricky,Jordan,jordari02,1994,1996,1,1995 - 1995,
45,Kevin,Koslofski,kosloke01,1994,1996,1,1995 - 1995,
46,Phil,Leftwich,leftwph01,1994,1996,1,1995 - 1995,
47,Bob,Milacki,milacbo01,1994,1996,1,1995 - 1995,
48,Kurt,Miller,milleku01,1994,1996,1,1995 - 1995,
49,Nate,Minchey,minchna01,1994,1996,1,1995 - 1995,
50,Kevin,Mitchell,mitchke01,1994,1996,1,1995 - 1995,"1995 - NPB, Fukuoka Daiei Hawks"
51,Keith,Mitchell,mitchke02,1994,1996,1,1995 - 1995,
52,Marcus,Moore,moorema01,1994,1996,1,1995 - 1995,
53,Al,Osuna,osunaal01,1994,1996,1,1995 - 1995,
54,Donn,Pall,palldo01,1994,1996,1,1995 - 1995,
55,Pete,Incaviglia,incavpe01,1994,1996,1,1995 - 1995,"1995 - NPB, Chiba Lotte Marines"
56,Tom,Quinlan,quinlto01,1994,1996,1,1995 - 1995,
57,Roger,Salkeld,salkero01,1994,1996,1,1995 - 1995,
58,Ryne,Sandberg,sandbry01,1994,1996,1,1995 - 1995,
59,Mark,Hutton,huttoma01,1994,1996,1,1995 - 1995,
60,Jeff,Granger,grangje01,1994,1996,1,1995 - 1995,
61,Paul,Spoljaric,spoljpa01,1994,1996,1,1995 - 1995,
62,Jerry,Spradlin,spradje01,1994,1996,1,1995 - 1995,
63,Dane,Johnson,johnsda05,1994,1996,1,1995 - 1995,
64,Luis,Lopez,lopezlu02,1994,1996,1,1995 - 1995,
65,Dale,Sveum,sveumda01,1994,1996,1,1995 - 1995,
66,Billy,Taylor,taylobi04,1994,1996,1,1995 - 1995,
67,Ricky,Trlicek,trlicri01,1994,1996,1,1995 - 1995,
68,Torey,Lovullo,lovulto01,1994,1996,1,1995 - 1995,
69,Joe,Magrane,magrajo01,1994,1996,1,1995 - 1995,
70,Wally,Whitehurst,whitewa02,1994,1996,1,1995 - 1995,
71,Tony,Womack,womacto01,1994,1996,1,1995 - 1995,
