id,nameFirst,nameLast,playerID,last_seen_year,return_year,gap_years,gap_years_range,gap_details
1,Fred,Hicks,hicksfr01,1909,1920,10,1910 - 1919,
2,Tick,Houston,houstti01,1910,1920,9,1911 - 1919,
3,Lico,Mederos,mederli01,1911,1920,8,1912 - 1919,
4,Fred,Goliah,goliafr01,1911,1920,8,1912 - 1919,
5,Chick,Harper,harpech01,1912,1920,7,1913 - 1919,
6,Hack,Eibel,eibelha01,1912,1920,7,1913 - 1919,
7,Jack,Calvo,calvoja01,1913,1920,6,1914 - 1919,
8,Eddie,Eayrs,eayrsed01,1913,1920,6,1914 - 1919,
9,John,Cunningham,cunnijo02,1913,1920,6,1914 - 1919,
10,Bobby,Winston,winstbo01,1913,1920,6,1914 - 1919,
11,John,Scheneberg,schenjo01,1913,1920,6,1914 - 1919,
12,Joe,Green,greenjo03,1913,1920,6,1914 - 1919,
13,Walter,Ball,ballwa01,1914,1920,5,1915 - 1919,
14,Charley,Hill,hillch01,1914,1920,5,1915 - 1919,
15,Eugene,Moore,mooreeu02,1914,1920,5,1915 - 1919,
16,Horace,Jenkins,jenkiho01,1915,1920,4,1916 - 1919,
17,Bill,Haeffner,haeffbi01,1915,1920,4,1916 - 1919,
18,Lynn,Brenton,brently01,1915,1920,4,1916 - 1919,
19,Hurley,McNair,mcnaihu01,1915,1920,4,1916 - 1919,
20,Ben,Paschal,paschbe01,1915,1920,4,1916 - 1919,
21,Red,Oldham,oldhare01,1915,1920,4,1916 - 1919,
22,Dick,Niehaus,niehadi01,1915,1920,4,1916 - 1919,
23,Harry,Bauchman,bauchha01,1916,1920,3,1917 - 1919,
24,Sam,Bennett,bennesa01,1916,1920,3,1917 - 1919,
25,George,Boehler,boehlge01,1916,1920,3,1917 - 1919,
26,George,Brown,brownge02,1916,1920,3,1917 - 1919,
27,Tullie,McAdoo,mcadotu01,1916,1920,3,1917 - 1919,
28,Steel Arm Johnny,Taylor,taylost01,1916,1920,3,1917 - 1919,
29,Bill,Drake,drakebi01,1916,1920,3,1917 - 1919,
30,Bill,Morrisette,morribi01,1916,1920,3,1917 - 1919,
31,Duster,Mails,mailsdu01,1916,1920,3,1917 - 1919,
32,F.,Banks,banksf01,1917,1920,2,1918 - 1919,
33,Charlie,Blackwell,blackch03,1917,1920,2,1918 - 1919,
34,Joe,Boehling,boehljo01,1917,1920,2,1918 - 1919,
35,George,Britt,brittge01,1917,1920,2,1918 - 1919,
36,Tim,Murchison,murchti01,1917,1920,2,1918 - 1919,
37,Lee,Wade,wadele01,1917,1920,2,1918 - 1919,
38,Sam,Crane,cranesa02,1917,1920,2,1918 - 1919,
39,Oscar,Dugey,dugeyos01,1917,1920,2,1918 - 1919,
40,Julián,Fabelo,fabelju01,1917,1920,2,1918 - 1919,
41,Bill,Gatewood,gatewbi01,1917,1920,2,1918 - 1919,
42,Pug,Griffin,griffpu01,1917,1920,2,1918 - 1919,
43,William,Marriott,marriwi01,1917,1920,2,1918 - 1919,
44,Herb,Hunter,huntehe01,1917,1920,2,1918 - 1919,
45,Dan,Kennard,kennada01,1917,1920,2,1918 - 1919,
46,Johnny,Miljus,miljujo01,1917,1920,2,1918 - 1919,
47,Louis,Miller,millelo01,1917,1920,2,1918 - 1919,
48,Lou,North,northlo01,1917,1920,2,1918 - 1919,
49,Lorenza,Cobb,cobblo01,1918,1920,1,1919 - 1919,
50,Jack,Coombs,coombja01,1918,1920,1,1919 - 1919,
51,Jimmie,Lyons,lyonsji01,1918,1920,1,1919 - 1919,
52,Bill,Hinchman,hinchbi01,1918,1920,1,1919 - 1919,
53,Marcelino,Guerra,guerrma03,1918,1920,1,1919 - 1919,
54,Prudencio,Martínez,martipr01,1918,1920,1,1919 - 1919,
55,Tim,Hendryx,hendrti01,1918,1920,1,1919 - 1919,
56,Gifford,McDonald,mcdongi01,1918,1920,1,1919 - 1919,
57,Bill,McKechnie,mckecbi01,1918,1920,1,1919 - 1919,
58,Bunny,Hearn,hearnbu01,1918,1920,1,1919 - 1919,
59,Jesse,Haines,haineje01,1918,1920,1,1919 - 1919,
60,Bruce,Hocker,hockebr01,1918,1920,1,1919 - 1919,
61,Ted,Jourdan,jourdte01,1918,1920,1,1919 - 1919,
62,Jack,Fournier,fournja01,1918,1920,1,1919 - 1919,
63,Gary,Fortune,fortuga01,1918,1920,1,1919 - 1919,
64,Tom,Fiall,fiallto01,1918,1920,1,1919 - 1919,
65,Buddy,Napier,napiebu01,1918,1920,1,1919 - 1919,
66,Isidro,Fabré,fabreis01,1918,1920,1,1919 - 1919,
67,Jim,Jeffries,jeffrji01,1918,1920,1,1919 - 1919,
68,Rowdy,Elliott,ellioro01,1918,1920,1,1919 - 1919,
69,Frank,O'Rourke,orourfr01,1918,1920,1,1919 - 1919,
70,Dizzy,Dismukes,dismudi01,1918,1920,1,1919 - 1919,
71,Babe,Pinelli,pinelba01,1918,1920,1,1919 - 1919,
72,Russell,Powell,powelru01,1918,1920,1,1919 - 1919,
73,Roy,Sanders,sandero02,1918,1920,1,1919 - 1919,
74,Agapito,Lázaga,lazagag01,1918,1920,1,1919 - 1919,
75,Red,Sheridan,sherire01,1918,1920,1,1919 - 1919,
76,C. I.,Taylor,tayloci99,1918,1920,1,1919 - 1919,
77,Mickey,Devine,devinmi01,1918,1920,1,1919 - 1919,
78,Gunboat,Thompson,thompgu02,1918,1920,1,1919 - 1919,
79,,Leon,leon01,1918,1920,1,1919 - 1919,
80,Frank,Walker,walkefr01,1918,1920,1,1919 - 1919,
81,Dick,Wallace,walladi01,1918,1920,1,1919 - 1919,
82,William,Webster,webstwi01,1918,1920,1,1919 - 1919,
83,Dixie,Davis,davisdi01,1918,1920,1,1919 - 1919,
84,Jim,York,yorkji02,1918,1920,1,1919 - 1919,
