id,nameFirst,nameLast,playerID,last_seen_year,return_year,gap_years,gap_years_range,gap_details
1,Marty,Krug,krugma01,1912,1922,9,1913 - 1921,
2,Cozy,Dolan,dolanco02,1915,1922,6,1916 - 1921,
3,Jack,Hammond,hammoja01,1915,1922,6,1916 - 1921,
4,Buddy,Hayes,hayesbu01,1916,1922,5,1917 - 1921,
5,Cy,Warmoth,warmocy01,1916,1922,5,1917 - 1921,
6,Claude,Johnson,johnscl02,1916,1922,5,1917 - 1921,
7,Johnny,Evers,eversjo01,1917,1922,4,1918 - 1921,
8,Stuffy,Stewart,stewast01,1917,1922,4,1918 - 1921,
9,Herman,Pillette,pillehe01,1917,1922,4,1918 - 1921,
10,Johnny,Couch,couchjo01,1917,1922,4,1918 - 1921,
11,Hank,DeBerry,deberha01,1917,1922,4,1918 - 1921,
12,Vic,Aldridge,aldrivi01,1918,1922,3,1919 - 1921,
13,Doc,Sykes,sykesdo01,1918,1922,3,1919 - 1921,
14,George,Harper,harpege02,1918,1922,3,1919 - 1921,
15,Dazzy,Vance,vanceda01,1918,1922,3,1919 - 1921,
16,Dick,McCabe,mccabdi01,1918,1922,3,1919 - 1921,
17,Hack,Miller,milleha01,1918,1922,3,1919 - 1921,
18,Herman,Bronkie,bronkhe01,1919,1922,2,1920 - 1921,
19,Roy,Leslie,lesliro01,1919,1922,2,1920 - 1921,
20,Frank,Miller,millefr02,1919,1922,2,1920 - 1921,
21,Blainey,Hall,hallbl01,1919,1922,2,1920 - 1921,
22,Joe,Harris,harrijo03,1919,1922,2,1920 - 1921,
23,Andy,Harris,harrian03,1919,1922,2,1920 - 1921,
24,Dave,Danforth,danfoda01,1919,1922,2,1920 - 1921,
25,Del,Gainer,gainede01,1919,1922,2,1920 - 1921,
26,Fred,Hutchinson,hutchfr02,1919,1922,2,1920 - 1921,
27,Gene,Robertson,roberge01,1919,1922,2,1920 - 1921,
28,Reb,Russell,russere01,1919,1922,2,1920 - 1921,
29,Rasty,Wright,wrighra02,1919,1922,2,1920 - 1921,
30,Carmen,Hill,hillca01,1919,1922,2,1920 - 1921,
31,Charlie,Robertson,roberch01,1919,1922,2,1920 - 1921,
32,Manuel,Villa,villama01,1919,1922,2,1920 - 1921,
33,George,Winn,winnge01,1919,1922,2,1920 - 1921,
34,José María,Fernández,fernajo05,1920,1922,1,1921 - 1921,
35,Art,Fletcher,fletcar01,1920,1922,1,1921 - 1921,
36,Bernie,Friberg,fribebe01,1920,1922,1,1921 - 1921,
37,Joe,Gleason,gleasjo01,1920,1922,1,1921 - 1921,
38,Willie,Gray,graywi01,1920,1922,1,1921 - 1921,
39,Agapito,Lázaga,lazagag01,1920,1922,1,1921 - 1921,
40,Prudencio,Martínez,martipr01,1920,1922,1,1921 - 1921,
41,Heavy,Johnson,johnshe01,1920,1922,1,1921 - 1921,
42,Mitchell,Murray,murrami02,1920,1922,1,1921 - 1921,
43,Lefty,O'Doul,odoulle01,1920,1922,1,1921 - 1921,
44,Eustaquio,Pedroso,pedroeu01,1920,1922,1,1921 - 1921,
45,Luke,Archer,archelu01,1920,1922,1,1921 - 1921,
46,Babe,Pinelli,pinelba01,1920,1922,1,1921 - 1921,
47,Ramiro,Ramírez,ramirra04,1920,1922,1,1921 - 1921,
48,Buck,Ridgley,ridglbu01,1920,1922,1,1921 - 1921,
49,Bubber,Jonnard,jonnabu01,1920,1922,1,1921 - 1921,
50,Virgil,Barnes,barnevi01,1920,1922,1,1921 - 1921,
51,Dick,Rudolph,rudoldi01,1920,1922,1,1921 - 1921,
52,Henry,Blackmon,blackhe01,1920,1922,1,1921 - 1921,
53,Slim,Branham,branhsl01,1920,1922,1,1921 - 1921,
54,Major,Allen,allenma01,1920,1922,1,1921 - 1921,
55,Homer,Summa,summaho01,1920,1922,1,1921 - 1921,
56,Frank,Duncan,duncafr01,1920,1922,1,1921 - 1921,
57,Candy Jim,Taylor,tayloca99,1920,1922,1,1921 - 1921,
58,Arnold,Statz,statzji01,1920,1922,1,1921 - 1921,
59,Charlie,Eckert,eckerch01,1920,1922,1,1921 - 1921,
60,Willie,Haynes,haynewi01,1920,1922,1,1921 - 1921,
61,Scrappy,Brown,brownsc02,1920,1922,1,1921 - 1921,
62,Frank,Withrow,withrfr01,1920,1922,1,1921 - 1921,
63,Fats,Jenkins,jenkifa01,1920,1922,1,1921 - 1921,
