id,nameFirst,nameLast,playerID,last_seen_year,return_year,gap_years,gap_years_range,gap_details
1,Rich,Thompson,thompri02,2004,2012,7,2005 - 2011,"2007 - Single A (Advanced), Rancho Cucamonga Quakes, Los Angeles Angels; 2007 - Double-A, Arkansas Travelers, TEX North Division All-Stars, Los Angeles Angels; 2007 - Triple A, Salt Lake Bees, Tucson Sidewinders, Arizona Diamondbacks, Los Angeles Angels; 2008 - Double-A, Reading Phillies, Philadelphia Phillies; 2008 - Triple A, Lehigh Valley IronPigs, Salt Lake Bees, Los Angeles Angels, Philadelphia Phillies; 2008 - Rookie, AZL Angels, Los Angeles Angels; 2009 - Triple A, Lehigh Valley IronPigs, Salt Lake Bees, Los Angeles Angels, Philadelphia Phillies; 2010 - Double-A, Reading Phillies, Philadelphia Phillies; 2010 - Triple-A, Lehigh Valley IronPigs, Salt Lake Bees, Los Angeles Angels, Philadelphia Phillies; 2011 - Triple-A, Lehigh Valley IronPigs, Philadelphia Phillies"
2,Adam,Greenberg,greenad01,2005,2012,6,2006 - 2011,"2007 - Double-A, Wichita Wranglers, Kansas City Royals; 2008 - Double-A, Arkansas Travelers, Los Angeles Angels"
3,Lew,Ford,fordle01,2007,2012,4,2008 - 2011,"2009 - Triple A, Louisville Bats, Cincinnati Reds; 2010 - Triple-A, Guerreros de Oaxaca, Office of the Commissioner"
4,Travis,Blackley,blacktr01,2007,2012,4,2008 - 2011,"2008 - Major League Baseball, Lehigh Valley IronPigs, Philadelphia Phillies; 2008 - Triple A, Lehigh Valley IronPigs, Philadelphia Phillies; 2009 - Triple A, Reno Aces, Arizona Diamondbacks; 2010 - Class A Advanced, Stockton Ports, Oakland Athletics; 2010 - Triple-A, Buffalo Bisons, Dorados de Chihuahua, Sacramento River Cats, New York Mets, Oakland Athletics, Office of the Commissioner"
5,Ray,Olmedo,olmedra01,2007,2012,4,2008 - 2011,"2008 - Triple A, Columbus Clippers, Washington Nationals; 2009 - Triple A, Durham Bulls, Tampa Bay Rays; 2010 - Triple-A, Nashville Sounds, Milwaukee Brewers; 2011 - Triple-A, Durham Bulls, International League All-Stars, Tampa Bay Rays"
6,Francisley,Bueno,buenofr01,2008,2012,3,2009 - 2011,"2009 - Triple A, Gwinnett Braves, Atlanta Braves; 2010 - Triple-A, Diablos Rojos del Mexico, Office of the Commissioner; 2011 - Triple-A, Sultanes de Monterrey, Office of the Commissioner"
7,Justin,Hampson,hampsju01,2008,2012,3,2009 - 2011,"2009 - Triple A, Sacramento River Cats, Oakland Athletics; 2011 - Triple-A, Buffalo Bisons, New York Mets"
8,Bobby,Korecky,korecbo01,2009,2012,2,2010 - 2011,"2011 - Double-A, New Hampshire Fisher Cats, Toronto Blue Jays; 2011 - Triple-A, Las Vegas 51s, Toronto Blue Jays"
9,Vinnie,Chulk,chulkvi01,2009,2012,2,2010 - 2011,"2010 - Triple-A, Indianapolis Indians, Pittsburgh Pirates; 2011 - Triple-A, Sacramento River Cats, Oakland Athletics; 2010 - NPB, Hiroshima Toyo Carp"
10,Jack,Egbert,egberja01,2009,2012,2,2010 - 2011,"2011 - Class A Advanced, St. Lucie Mets, New York Mets; 2011 - Double-A, Binghamton Mets, New York Mets; 2011 - Triple-A, Buffalo Bisons, New York Mets"
11,Alex,Hinshaw,hinshal01,2009,2012,2,2010 - 2011,"2010 - Triple-A, Fresno Grizzlies, San Francisco Giants; 2011 - Double-A, Richmond Flying Squirrels, San Francisco Giants; 2011 - Triple-A, Fresno Grizzlies, San Francisco Giants"
12,Kip,Wells,wellski01,2009,2012,2,2010 - 2011,
