id,nameFirst,nameLast,playerID,last_seen_year,return_year,gap_years,gap_years_range,gap_details
1,Bill,Hinchman,hinchbi01,1909,1915,5,1910 - 1914,
2,Chick,Brandom,brandch01,1909,1915,5,1910 - 1914,
3,Bobby,Vaughn,vaughbo01,1909,1915,5,1910 - 1914,
4,Ralph,Stroud,strousa01,1910,1915,4,1911 - 1914,
5,Louis,Miller,millelo01,1910,1915,4,1911 - 1914,
6,Pete,Standridge,standpe01,1911,1915,3,1912 - 1914,
7,Sheldon,Lejeune,lejeula01,1911,1915,3,1912 - 1914,
8,Bert,Adams,adamsbe01,1912,1915,2,1913 - 1914,
9,Polly,McLarry,mclarpo01,1912,1915,2,1913 - 1914,
10,Hurley,McNair,mcnaihu01,1912,1915,2,1913 - 1914,
11,Elmer,Miller,milleel01,1912,1915,2,1913 - 1914,
12,George,Mogridge,mogrige01,1912,1915,2,1913 - 1914,
13,Sam,Mongin,mongisa01,1912,1915,2,1913 - 1914,
14,Wheezer,Dell,dellwh01,1912,1915,2,1913 - 1914,
15,Alex,Remneas,remneal01,1912,1915,2,1913 - 1914,
16,Roxey,Roach,roachro01,1912,1915,2,1913 - 1914,
17,Sherry,Smith,smithsh01,1912,1915,2,1913 - 1914,
18,Roy,Walker,walkero01,1912,1915,2,1913 - 1914,
19,Gene,Dale,dalege01,1912,1915,2,1913 - 1914,
20,Dixie,Davis,davisdi01,1912,1915,2,1913 - 1914,
21,Gil,Whitehouse,whitegi01,1912,1915,2,1913 - 1914,
22,Bill,Donovan,donovbi01,1912,1915,2,1913 - 1914,
23,Lefty,George,georgle01,1912,1915,2,1913 - 1914,
24,Denney,Wilie,wiliede01,1912,1915,2,1913 - 1914,
25,Tim,Hendryx,hendrti01,1912,1915,2,1913 - 1914,
26,Brad,Hogg,hoggbr01,1912,1915,2,1913 - 1914,
27,Ernie,Johnson,johnser01,1912,1915,2,1913 - 1914,
28,Ellis,Johnson,johnswa02,1912,1915,2,1913 - 1914,
29,Brad,Kocher,kochebr01,1912,1915,2,1913 - 1914,
30,Fred,Lamlein,lamlifr01,1912,1915,2,1913 - 1914,
31,Dave,Howard,howarda01,1912,1915,2,1913 - 1914,
32,Tom,Long,longto01,1912,1915,2,1913 - 1914,
33,Grover,Lowdermilk,lowdegr01,1912,1915,2,1913 - 1914,
34,Tullie,McAdoo,mcadotu01,1912,1915,2,1913 - 1914,
35,Walt,Alexander,alexawa01,1913,1915,1,1914 - 1914,
36,Johnny,Beall,bealljo01,1913,1915,1,1914 - 1914,
37,Earl,Blackburn,blackea01,1913,1915,1,1914 - 1914,
38,Babe,Borton,bortoba01,1913,1915,1,1914 - 1914,
39,Lynn,Brenton,brently01,1913,1915,1,1914 - 1914,
40,Curly,Brown,browncu01,1913,1915,1,1914 - 1914,
41,Sandy,Burk,burksa01,1913,1915,1,1914 - 1914,
42,Pete,Compton,comptpe01,1913,1915,1,1914 - 1914,
43,Ralph,Comstock,comstra01,1913,1915,1,1914 - 1914,
44,Bunny,Brief,briefbu01,1913,1915,1,1914 - 1914,
45,Arnold,Hauser,hausear01,1913,1915,1,1914 - 1914,
46,Ernie,Krueger,krueger01,1913,1915,1,1914 - 1914,
47,Henri,Rondeau,rondehe01,1913,1915,1,1914 - 1914,
48,Joe,Schultz,schuljo03,1913,1915,1,1914 - 1914,
49,Hank,Severeid,severha01,1913,1915,1,1914 - 1914,
50,Agustín,Parpetti,parpeag01,1913,1915,1,1914 - 1914,
51,Billy,Southworth,southbi01,1913,1915,1,1914 - 1914,
52,Ed,Klepfer,klepfed01,1913,1915,1,1914 - 1914,
53,Red,Hoff,hoffch01,1913,1915,1,1914 - 1914,
54,Fred,Toney,toneyfr01,1913,1915,1,1914 - 1914,
55,Walt,Tragesser,tragewa01,1913,1915,1,1914 - 1914,
56,Bunny,Hearn,hearnbu01,1913,1915,1,1914 - 1914,
57,Heinie,Wagner,wagnehe01,1913,1915,1,1914 - 1914,
58,Wally,Pipp,pippwa01,1913,1915,1,1914 - 1914,
59,Finners,Quinlan,quinlfi01,1913,1915,1,1914 - 1914,
60,Hub,Miller,millehu02,1913,1915,1,1914 - 1914,
61,Ralph,Young,youngra01,1913,1915,1,1914 - 1914,
