id,nameFirst,nameLast,playerID,last_seen_year,return_year,gap_years,gap_years_range,gap_details
1,Lena,Styles,stylele01,1921,1930,8,1922 - 1929,
2,Bernie,Hungling,hunglbe01,1923,1930,6,1924 - 1929,
3,Ken,Jones,joneske01,1924,1930,5,1925 - 1929,
4,Red,Charleston,charlre01,1924,1930,5,1925 - 1929,
5,George,Fisher,fishesh01,1924,1930,5,1925 - 1929,
6,Jesse,Edwards,edwarje01,1925,1930,4,1926 - 1929,
7,Jim,Keesey,keeseji01,1925,1930,4,1926 - 1929,
8,Ben,Shields,shielbe01,1925,1930,4,1926 - 1929,
9,Felton,Stratton,stratfe01,1925,1930,4,1926 - 1929,
10,Samuel,Dewitt,dewitsa01,1926,1930,3,1927 - 1929,
11,Joe,Hewitt,hewitjo01,1926,1930,3,1927 - 1929,
12,Charlie,Engle,englech01,1926,1930,3,1927 - 1929,
13,Bill,Morrell,morrebi01,1926,1930,3,1927 - 1929,
14,John,Shackelford,shackjo01,1926,1930,3,1927 - 1929,
15,By,Speece,speecby01,1926,1930,3,1927 - 1929,
16,Bill,Drake,drakebi01,1927,1930,2,1928 - 1929,
17,Ike,Boone,booneik01,1927,1930,2,1928 - 1929,
18,Frank,Bushey,bushefr01,1927,1930,2,1928 - 1929,
19,Percy,Miller,millepe01,1927,1930,2,1928 - 1929,
20,Guy,Cantrell,cantrgu01,1927,1930,2,1928 - 1929,
21,Bill,Evans,evansbi03,1927,1930,2,1928 - 1929,
22,Cowan,Hyde,hydeco01,1927,1930,2,1928 - 1929,
23,Pepper,Daniels,daniepe02,1927,1930,2,1928 - 1929,
24,Joe,Klinger,klingjo02,1927,1930,2,1928 - 1929,
25,Roy,Mahaffey,mahafro01,1927,1930,2,1928 - 1929,
26,Otis,Miller,milleot02,1927,1930,2,1928 - 1929,
27,Hollis,Thurston,thurssl01,1927,1930,2,1928 - 1929,
28,Columbus,Vance,vanceco02,1927,1930,2,1928 - 1929,
29,Paul,Easterling,eastepa01,1928,1930,1,1929 - 1929,
30,Foster,Edwards,edwarfo01,1928,1930,1,1929 - 1929,
31,Jim,Faulkner,faulkji01,1928,1930,1,1929 - 1929,
32,Sam,Gibson,gibsosa01,1928,1930,1,1929 - 1929,
33,George,Giles,gilesge01,1928,1930,1,1929 - 1929,
34,Henry,Gillespie,gillehe01,1928,1930,1,1929 - 1929,
35,Jonah,Goldman,goldmjo01,1928,1930,1,1929 - 1929,
36,George,Harney,harnege01,1928,1930,1,1929 - 1929,
37,Dave,Harris,harrida01,1928,1930,1,1929 - 1929,
38,Heavy,Johnson,johnshe01,1928,1930,1,1929 - 1929,
39,John Wesley,Johnson,johnsjo10,1928,1930,1,1929 - 1929,
40,Pete,Appleton,applepe01,1928,1930,1,1929 - 1929,
41,John,Barnes,barnejo02,1928,1930,1,1929 - 1929,
42,George,Loepp,loeppge01,1928,1930,1,1929 - 1929,
43,Al,Lopez,lopezal01,1928,1930,1,1929 - 1929,
44,Les,Barnhart,barnhle01,1928,1930,1,1929 - 1929,
45,Gus,Mancuso,mancugu01,1928,1930,1,1929 - 1929,
46,Pepper,Martin,martipe01,1928,1930,1,1929 - 1929,
47,Harry,McCurdy,mccurha01,1928,1930,1,1929 - 1929,
48,Ray,Blades,bladera01,1928,1930,1,1929 - 1929,
49,Bubbles,Hargrave,hargrbu01,1928,1930,1,1929 - 1929,
50,Ed,Montague,montaed01,1928,1930,1,1929 - 1929,
51,Randy,Moore,moorera01,1928,1930,1,1929 - 1929,
52,Willie,Bobo,bobowi01,1928,1930,1,1929 - 1929,
53,Johnny,Neun,neunjo01,1928,1930,1,1929 - 1929,
54,Chet,Nichols,nichoch01,1928,1930,1,1929 - 1929,
55,Dewitt,Owens,owensde01,1928,1930,1,1929 - 1929,
56,Bill,Perkins,perkibi01,1928,1930,1,1929 - 1929,
57,Willie,Powell,powelwi01,1928,1930,1,1929 - 1929,
58,Hub,Pruett,pruethu01,1928,1930,1,1929 - 1929,
59,John,Reese,reesejo01,1928,1930,1,1929 - 1929,
60,Al,Bool,boolal01,1928,1930,1,1929 - 1929,
61,Billy,Rogell,rogelbi01,1928,1930,1,1929 - 1929,
62,Red,Rollings,rollire01,1928,1930,1,1929 - 1929,
63,James,Bray,brayja01,1928,1930,1,1929 - 1929,
64,Al,Shealy,shealal01,1928,1930,1,1929 - 1929,
65,Tiny,Chaplin,chaplti01,1928,1930,1,1929 - 1929,
66,Biff,Clark,clarkbi02,1928,1930,1,1929 - 1929,
67,Glenn,Spencer,spencgl01,1928,1930,1,1929 - 1929,
68,Hap,Collard,collaha01,1928,1930,1,1929 - 1929,
69,Flint,Rhem,rhemfl01,1928,1930,1,1929 - 1929,
70,Charlie,Sullivan,sullich02,1928,1930,1,1929 - 1929,
71,Bill,Sweeney,sweenbi03,1928,1930,1,1929 - 1929,
72,Rube,Curry,curryru01,1928,1930,1,1929 - 1929,
73,Odis,Turner,turneod01,1928,1930,1,1929 - 1929,
74,Marty,Callaghan,callama01,1928,1930,1,1929 - 1929,
75,Earl,Webb,webbea01,1928,1930,1,1929 - 1929,
76,Clarence,White,whitecl01,1928,1930,1,1929 - 1929,
77,Jim,Willis,williji06,1928,1930,1,1929 - 1929,
78,Charles,Zomphier,zomphch01,1928,1930,1,1929 - 1929,
