id,nameFirst,nameLast,playerID,last_seen_year,return_year,gap_years,gap_years_range,gap_details
1,Mel,Wright,wrighme01,1955,1960,4,1956 - 1959,
2,Joey,Amalfitano,amalfjo01,1955,1960,4,1956 - 1959,
3,Jim,Pagliaroni,pagliji01,1955,1960,4,1956 - 1959,
4,Bob,Oldis,oldisbo01,1955,1960,4,1956 - 1959,
5,Bobby,Tiefenauer,tiefebo01,1955,1960,4,1956 - 1959,
6,Billy,Shantz,shantbi01,1955,1960,4,1956 - 1959,
7,Bob,Aspromonte,asprobo01,1956,1960,3,1957 - 1959,
8,Jim,Delsing,delsiji01,1956,1960,3,1957 - 1959,
9,Chet,Nichols,nichoch02,1956,1960,3,1957 - 1959,
10,Grady,Hatton,hattogr01,1956,1960,3,1957 - 1959,
11,Raul,Sanchez,sanchra01,1957,1960,2,1958 - 1959,
12,Jim,Woods,woodsji01,1957,1960,2,1958 - 1959,
13,Ted,Abernathy,abernte02,1957,1960,2,1958 - 1959,
14,Don,Landrum,landrdo01,1957,1960,2,1958 - 1959,
15,Ruben,Amaro,amaroru01,1958,1960,1,1959 - 1959,
16,John,Anderson,anderjo02,1958,1960,1,1959 - 1959,
17,Gene,Baker,bakerge02,1958,1960,1,1959 - 1959,
18,Frank,Barnes,barnefr02,1958,1960,1,1959 - 1959,
19,Steve,Bilko,bilkost01,1958,1960,1,1959 - 1959,
20,Ellis,Burton,burtoel01,1958,1960,1,1959 - 1959,
21,Jimmie,Coker,cokerji01,1958,1960,1,1959 - 1959,
22,Bob,Davis,davisbo01,1958,1960,1,1959 - 1959,
23,Bobby,Del Greco,delgrbo01,1958,1960,1,1959 - 1959,
24,Dick,Ellsworth,ellswdi01,1958,1960,1,1959 - 1959,
25,Ramon,Monzant,monzara01,1958,1960,1,1959 - 1959,
26,Darrell,Johnson,johnsda01,1958,1960,1,1959 - 1959,
27,Johnny,James,jamesjo01,1958,1960,1,1959 - 1959,
28,Pancho,Herrera,herrepa01,1958,1960,1,1959 - 1959,
29,Ed,Roebuck,roebued01,1958,1960,1,1959 - 1959,
30,Don,Lee,leedo01,1958,1960,1,1959 - 1959,
31,Eddie,Haas,haased01,1958,1960,1,1959 - 1959,
32,George,Spencer,spencge01,1958,1960,1,1959 - 1959,
33,El,Tappe,tappeel01,1958,1960,1,1959 - 1959,
34,Moe,Thacker,thackmo01,1958,1960,1,1959 - 1959,
35,Jim,Gentile,gentiji01,1958,1960,1,1959 - 1959,
36,Ozzie,Virgil,virgioz01,1958,1960,1,1959 - 1959,
37,Ted,Wieand,wieante01,1958,1960,1,1959 - 1959,
38,Bob,Will,willbo01,1958,1960,1,1959 - 1959,
39,Hank,Mason,masonha01,1958,1960,1,1959 - 1959,
40,Jerry,Kindall,kindaje01,1958,1960,1,1959 - 1959,
