id,nameFirst,nameLast,playerID,last_seen_year,return_year,gap_years,gap_years_range,gap_details
1,Pete,Daniels,daniepe01,1890,1898,7,1891 - 1897,
2,Jim,Field,fieldji01,1890,1898,7,1891 - 1897,
3,Buck,Freeman,freembu01,1891,1898,6,1892 - 1897,
4,Mart,McQuaid,mcquama01,1891,1898,6,1892 - 1897,
5,Bill,Eagan,eaganbi01,1893,1898,4,1894 - 1897,
6,Kirtley,Baker,bakerki01,1894,1898,3,1895 - 1897,
7,Art,Ball,ballar01,1894,1898,3,1895 - 1897,
8,Frank,Grant,grantfr99,1894,1898,3,1895 - 1897,
9,Matt,Kilroy,kilroma01,1894,1898,3,1895 - 1897,
10,Jack,McCarthy,mccarja01,1894,1898,3,1895 - 1897,
11,George,Carey,careysc01,1895,1898,2,1896 - 1897,
12,Jack,Cronin,cronija01,1895,1898,2,1896 - 1897,
13,John,Menefee,menefjo01,1895,1898,2,1896 - 1897,
14,Jack,Crooks,crookja01,1896,1898,1,1897 - 1897,
15,Tom,Daly,dalyto01,1896,1898,1,1897 - 1897,
16,Jot,Goar,goarjo01,1896,1898,1,1897 - 1897,
17,Bill,Gray,greybi01,1896,1898,1,1897 - 1897,
18,Elmer,Horton,hortoel01,1896,1898,1,1897 - 1897,
19,Bill,Keister,keistbi01,1896,1898,1,1897 - 1897,
20,Tom,Kinslow,kinslto01,1896,1898,1,1897 - 1897,
21,Algie,McBride,mcbrial01,1896,1898,1,1897 - 1897,
22,Herm,McFarland,mcfarhe01,1896,1898,1,1897 - 1897,
23,Dan,McGann,mcganda01,1896,1898,1,1897 - 1897,
24,Sam,Mertes,mertesa01,1896,1898,1,1897 - 1897,
25,Bert,Myers,myersbe01,1896,1898,1,1897 - 1897,
26,Jack,Ryan,ryanja01,1896,1898,1,1897 - 1897,
27,Jud,Smith,smithju01,1896,1898,1,1897 - 1897,
28,Tom,Smith,smithto02,1896,1898,1,1897 - 1897,
29,Ed,Stein,steined01,1896,1898,1,1897 - 1897,
30,Gus,Weyhing,weyhigu01,1896,1898,1,1897 - 1897,
