id,nameFirst,nameLast,playerID,last_seen_year,return_year,gap_years,gap_years_range,gap_details
1,Red,Woodhead,woodhre01,1873,1879,5,1874 - 1878,
2,Herm,Doscher,doschhe01,1875,1879,3,1876 - 1878,
3,Pud,Galvin,galvipu01,1875,1879,3,1876 - 1878,
4,Fred,Goldsmith,goldsfr01,1875,1879,3,1876 - 1878,
5,John,Richmond,richmjo01,1875,1879,3,1876 - 1878,
6,Billy,Riley,rileybi01,1875,1879,3,1876 - 1878,
7,Oscar,Walker,walkeos01,1875,1879,3,1876 - 1878,
8,Charles,Fulmer,fulmech01,1876,1879,2,1877 - 1878,
9,John,McGuinness,mcguijo01,1876,1879,2,1877 - 1878,
10,Ross,Barnes,barnero01,1877,1879,1,1878 - 1878,
11,George,Bradley,bradlge01,1877,1879,1,1878 - 1878,
12,Bill,Crowley,crowlbi01,1877,1879,1,1878 - 1878,
13,Mike,Dorgan,dorgami01,1877,1879,1,1878 - 1878,
14,Charlie,Eden,edench01,1877,1879,1,1878 - 1878,
15,Dave,Eggler,eggleda01,1877,1879,1,1878 - 1878,
16,Davy,Force,forceda01,1877,1879,1,1878 - 1878,
17,Bobby,Mathews,mathebo01,1877,1879,1,1878 - 1878,
18,Mike,McGeary,mcgeami01,1877,1879,1,1878 - 1878,
19,Live Oak,Taylor,tayloli01,1877,1879,1,1878 - 1878,
