id,nameFirst,nameLast,playerID,last_seen_year,return_year,gap_years,gap_years_range,gap_details
1,Sandy,McDougal,mcdousa01,1895,1905,9,1896 - 1904,
2,Josh,Clarke,clarkjo02,1898,1905,6,1899 - 1904,
3,Red,Owens,owensre01,1899,1905,5,1900 - 1904,
4,George,Taylor,tayloge01,1900,1905,4,1901 - 1904,
5,Tom,Leahy,leahyto01,1901,1905,3,1902 - 1904,
6,Emil,Frisk,friskem01,1901,1905,3,1902 - 1904,
7,Joe,Connor,connojo03,1901,1905,3,1902 - 1904,
8,Jake,Volz,volzja01,1901,1905,3,1902 - 1904,
9,George,Rohe,rohege01,1901,1905,3,1902 - 1904,
10,George,McBride,mcbrige01,1901,1905,3,1902 - 1904,
11,Doc,Newton,newtodo01,1902,1905,2,1903 - 1904,
12,Germany,Schaefer,schaege01,1902,1905,2,1903 - 1904,
13,Bunk,Congalton,congabu01,1902,1905,2,1903 - 1904,
14,Wish,Egan,eganwi01,1902,1905,2,1903 - 1904,
15,Joe,Green,greenjo03,1902,1905,2,1903 - 1904,
16,Nate,Harris,harrina01,1902,1905,2,1903 - 1904,
17,Ed,Hughes,hugheed01,1902,1905,2,1903 - 1904,
18,Jim,Jackson,jacksji01,1902,1905,2,1903 - 1904,
19,Harry,Arndt,arndtha01,1902,1905,2,1903 - 1904,
20,Billy,Maloney,malonbi01,1902,1905,2,1903 - 1904,
21,Sherman,Barton,bartosh02,1903,1905,1,1904 - 1904,
22,William,Binga,bingawi01,1903,1905,1,1904 - 1904,
23,Billy,Holland,hollabi04,1903,1905,1,1904 - 1904,
24,Hans,Lobert,loberha01,1903,1905,1,1904 - 1904,
25,Cy,Falkenberg,falkecy01,1903,1905,1,1904 - 1904,
26,Ginney,Robinson,robingi01,1903,1905,1,1904 - 1904,
27,Mal,Eason,easonma01,1903,1905,1,1904 - 1904,
28,Harry,Kane,kaneha01,1903,1905,1,1904 - 1904,
29,George,Stone,stonege01,1903,1905,1,1904 - 1904,
30,Danger,Talbert,talbeda01,1903,1905,1,1904 - 1904,
31,Johnny,Davis,davisjo08,1903,1905,1,1904 - 1904,
32,Ernie,Courtney,courter01,1903,1905,1,1904 - 1904,
33,William,Warrick,warriwi01,1903,1905,1,1904 - 1904,
34,Art,Weaver,weavear01,1903,1905,1,1904 - 1904,
35,Jimmy,Wiggs,wiggsji01,1903,1905,1,1904 - 1904,
36,Joe,Yeager,yeagejo01,1903,1905,1,1904 - 1904,
