id,nameFirst,nameLast,playerID,last_seen_year,return_year,gap_years,gap_years_range,gap_details
1,Jason,Lane,laneja01,2007,2014,6,2008 - 2013,"2008 - Triple A, Pawtucket Red Sox, Scranton/Wilkes-Barre Yankees, Boston Red Sox, New York Yankees; 2009 - Triple A, Las Vegas 51s, Toronto Blue Jays; 2010 - Triple-A, Las Vegas 51s, New Orleans Zephyrs, Miami Marlins, Toronto Blue Jays; 2011 - Triple-A, Las Vegas 51s, Toronto Blue Jays; 2012 - Triple-A, Reno Aces, Arizona Diamondbacks; 2013 - Triple-A, Tucson Padres, San Diego Padres"
2,Ryan,Feierabend,feierry01,2008,2014,5,2009 - 2013,"2010 - Class A Advanced, High Desert Mavericks, Seattle Mariners; 2010 - Double-A, West Tenn Diamond Jaxx, Seattle Mariners; 2010 - Triple-A, Tacoma Rainiers, Seattle Mariners; 2011 - Triple-A, Lehigh Valley IronPigs, Philadelphia Phillies; 2012 - Triple-A, Louisville Bats, Cincinnati Reds; 2013 - Double-A, Frisco RoughRiders, Texas Rangers; 2013 - Triple-A, Round Rock Express, Texas Rangers"
3,Yoslan,Herrera,herreyo01,2008,2014,5,2009 - 2013,"2009 - Double-A, Altoona Curve, Pittsburgh Pirates; 2009 - Triple A, Indianapolis Indians, Pittsburgh Pirates; 2010 - Triple-A, Rochester Red Wings, Minnesota Twins"
4,Gregorio,Petit,petitgr01,2009,2014,4,2010 - 2013,"2010 - Triple-A, Oklahoma City RedHawks, Texas Rangers; 2012 - Triple-A, Columbus Clippers, Cleveland Guardians; 2013 - Triple-A, Tucson Padres, San Diego Padres"
5,Aaron,Poreda,poredaa01,2009,2014,4,2010 - 2013,"2010 - Double-A, San Antonio Missions, San Diego Padres; 2010 - Triple-A, Portland Beavers, San Diego Padres; 2011 - Triple-A, Tucson Padres, San Diego Padres; 2012 - Double-A, Altoona Curve, Pittsburgh Pirates"
6,Andy,Marte,martean01,2010,2014,3,2011 - 2013,"2011 - Triple-A, Indianapolis Indians, Pittsburgh Pirates; 2013 - Triple-A, Salt Lake Bees, Los Angeles Angels"
7,Ryan,Rowland-Smith,rowlary01,2010,2014,3,2011 - 2013,"2011 - Triple-A, Oklahoma City RedHawks, Houston Astros; 2011 - Major League Baseball, Houston Astros, None; 2011 - Rookie, GCL Astros, Houston Astros; 2012 - Triple-A, Iowa Cubs, Chicago Cubs; 2013 - Triple-A, Pawtucket Red Sox, Boston Red Sox"
8,Brian,Schlitter,schlibr01,2010,2014,3,2011 - 2013,"2012 - Class A Advanced, Daytona Cubs, Chicago Cubs; 2012 - Double-A, Tennessee Smokies, Chicago Cubs; 2013 - Double-A, Tennessee Smokies, Chicago Cubs; 2013 - Triple-A, Iowa Cubs, Chicago Cubs"
9,Nick,Masset,masseni01,2011,2014,2,2012 - 2013,"2012 - Class A, Dayton Dragons, Cincinnati Reds; 2012 - Triple-A, Louisville Bats, Cincinnati Reds; 2012 - Rookie, AZL Reds, Cincinnati Reds"
10,Joe,Beimel,beimejo01,2011,2014,2,2012 - 2013,"2013 - Triple-A, Gwinnett Braves, Atlanta Braves"
11,Trevor,Bell,belltr01,2011,2014,2,2012 - 2013,"2012 - Triple-A, Salt Lake Bees, Los Angeles Angels; 2012 - Rookie, AZL Angels, Los Angeles Angels; 2013 - Double-A, Pensacola Blue Wahoos, Cincinnati Reds; 2013 - Triple-A, Louisville Bats, Cincinnati Reds"
12,Bruce,Billings,billibr02,2011,2014,2,2012 - 2013,"2012 - Double-A, Midland RockHounds, Oakland Athletics; 2012 - Major League Baseball, Sacramento River Cats, Oakland Athletics; 2012 - Triple-A, Sacramento River Cats, Oakland Athletics; 2013 - Triple-A, Sacramento River Cats, Oakland Athletics"
13,Andres,Blanco,blancan01,2011,2014,2,2012 - 2013,"2012 - Triple-A, Lehigh Valley IronPigs, Philadelphia Phillies"
14,Blaine,Boyer,boyerbl01,2011,2014,2,2012 - 2013,"2013 - Triple-A, Omaha Storm Chasers, Kansas City Royals; 2013 - NPB, Hanshin Tigers"
15,Buddy,Carlyle,carlybu01,2011,2014,2,2012 - 2013,"2012 - Triple-A, Gwinnett Braves, Atlanta Braves; 2013 - Triple-A, Buffalo Bisons, Toronto Blue Jays"
16,Kevin,Kouzmanoff,kouzmke01,2011,2014,2,2012 - 2013,"2012 - Double-A, Northwest Arkansas Naturals, Kansas City Royals; 2012 - Triple-A, Omaha Storm Chasers, Kansas City Royals; 2013 - Triple-A, New Orleans Zephyrs, Miami Marlins"
17,Hector,Gomez,gomezhe01,2011,2014,2,2012 - 2013,"2012 - Class A Advanced, Brevard County Manatees, Modesto Nuts, Colorado Rockies, Milwaukee Brewers; 2013 - Double-A, Huntsville Stars, Milwaukee Brewers"
18,Nick,Evans,evansni01,2011,2014,2,2012 - 2013,"2012 - Triple-A, Indianapolis Indians, Pittsburgh Pirates; 2012 - Rookie, GCL Pirates, Pittsburgh Pirates; 2013 - Double-A, Mobile BayBears, SOU South Division All-Stars, Arizona Diamondbacks"
19,Juan Carlos,Oviedo,nunezle01,2011,2014,2,2012 - 2013,"2012 - Class A Advanced, Jupiter Hammerheads, Miami Marlins; 2012 - Triple-A, New Orleans Zephyrs, Miami Marlins"
