id,nameFirst,nameLast,playerID,last_seen_year,return_year,gap_years,gap_years_range,gap_details
1,Steve,Ridzik,ridzist01,1958,1963,4,1959 - 1962,
2,Jim,Bronstad,bronsji01,1959,1963,3,1960 - 1962,
3,Fred,Valentine,valenfr01,1959,1963,3,1960 - 1962,
4,Ted,Abernathy,abernte02,1960,1963,2,1961 - 1962,
5,Ellis,Burton,burtoel01,1960,1963,2,1961 - 1962,
6,Duke,Carmel,carmedu01,1960,1963,2,1961 - 1962,
7,Len,Gabrielson,gabrile02,1960,1963,2,1961 - 1962,
8,Mike,Lee,leemi01,1960,1963,2,1961 - 1962,
9,Mel,Nelson,nelsome01,1960,1963,2,1961 - 1962,
10,Taylor,Phillips,phillta01,1960,1963,2,1961 - 1962,
11,Joe,Shipley,shipljo01,1960,1963,2,1961 - 1962,
12,Al,Worthington,worthal01,1960,1963,2,1961 - 1962,
13,Julio,Becquer,becquju01,1961,1963,1,1962 - 1962,
14,Jerry,Buchek,bucheje01,1961,1963,1,1962 - 1962,
15,Gary,Dotter,dottega01,1961,1963,1,1962 - 1962,
16,Bill,Freehan,freehbi01,1961,1963,1,1962 - 1962,
17,Jay,Hankins,hankija01,1961,1963,1,1962 - 1962,
18,Tim,McCarver,mccarti01,1961,1963,1,1962 - 1962,
19,Ron,Moeller,moellro01,1961,1963,1,1962 - 1962,
20,Ken,Walters,walteke01,1961,1963,1,1962 - 1962,
