id,nameFirst,nameLast,playerID,last_seen_year,return_year,gap_years,gap_years_range,gap_details
1,Larry,Luebbers,luebbla01,1993,1999,5,1994 - 1998,
2,Kip,Gross,grosski01,1993,1999,5,1994 - 1998,"1994 - NPB, Nippon-Ham Fighters; 1995 - NPB, Nippon-Ham Fighters; 1996 - NPB, Nippon-Ham Fighters; 1997 - NPB, Nippon-Ham Fighters; 1998 - NPB, Nippon-Ham Fighters"
3,Olmedo,Saenz,saenzol01,1994,1999,4,1995 - 1998,
4,Brent,Cookson,cooksbr01,1995,1999,3,1996 - 1998,
5,Joe,Slusarski,slusajo01,1995,1999,3,1996 - 1998,
6,Reid,Cornelius,cornere01,1995,1999,3,1996 - 1998,
7,Roberto,Rivera,riverro01,1995,1999,3,1996 - 1998,
8,Melvin,Bunch,bunchme01,1995,1999,3,1996 - 1998,
9,Steve,Mintz,mintzst01,1995,1999,3,1996 - 1998,
10,Joe,Grahe,grahejo01,1995,1999,3,1996 - 1998,
11,Eddie,Zosky,zoskyed01,1995,1999,3,1996 - 1998,
12,Jay,Canizaro,canizja01,1996,1999,2,1997 - 1998,
13,Howard,Battle,battlho01,1996,1999,2,1997 - 1998,
14,Ryan,Thompson,thompry01,1996,1999,2,1997 - 1998,"1998 - NPB, Fukuoka Daiei Hawks"
15,Steve,Decker,deckest01,1996,1999,2,1997 - 1998,
16,Pedro,Borbon,borbope02,1996,1999,2,1997 - 1998,
17,David,Doster,dosteda01,1996,1999,2,1997 - 1998,
18,Derek,Wallace,wallade01,1996,1999,2,1997 - 1998,
19,Doug,Linton,lintodo01,1996,1999,2,1997 - 1998,
20,Tim,Harikkala,harikti01,1996,1999,2,1997 - 1998,
21,Mike,Fyhrie,fyhrimi01,1996,1999,2,1997 - 1998,"1997 - NPB, Chiba Lotte Marines"
22,Archie,Corbin,corbiar01,1996,1999,2,1997 - 1998,
23,Jason,Grimsley,grimsja01,1996,1999,2,1997 - 1998,
24,Luis,Polonia,polonlu01,1996,1999,2,1997 - 1998,
25,Tim,Hyers,hyersti01,1996,1999,2,1997 - 1998,
26,Herbert,Perry,perryhe01,1996,1999,2,1997 - 1998,
27,Alan,Benes,benesal01,1997,1999,1,1998 - 1998,
28,Henry,Blanco,blanche01,1997,1999,1,1998 - 1998,
29,Jacob,Brumfield,brumfja01,1997,1999,1,1998 - 1998,
30,Rob,Butler,butlero01,1997,1999,1,1998 - 1998,
31,Rafael,Carmona,carmora01,1997,1999,1,1998 - 1998,
32,Michael,Coleman,colemmi01,1997,1999,1,1998 - 1998,
33,Rheal,Cormier,cormirh01,1997,1999,1,1998 - 1998,
34,Doug,Creek,creekdo01,1997,1999,1,1998 - 1998,"1998 - NPB, Hanshin Tigers"
35,Ivan,Cruz,cruziv01,1997,1999,1,1998 - 1998,
36,Nelson,Cruz,cruzne01,1997,1999,1,1998 - 1998,
37,Jeff,D'Amico,damicje01,1997,1999,1,1998 - 1998,
38,Steve,Falteisek,faltest01,1997,1999,1,1998 - 1998,
39,Robin,Jennings,jenniro01,1997,1999,1,1998 - 1998,
40,Tim,Kubinski,kubinti01,1997,1999,1,1998 - 1998,
41,Cory,Lidle,lidleco01,1997,1999,1,1998 - 1998,
42,Jeff,Frye,fryeje01,1997,1999,1,1998 - 1998,
43,Greg,Hansell,hansegr01,1997,1999,1,1998 - 1998,
44,Pat,Mahomes,mahompa01,1997,1999,1,1998 - 1998,
45,Josias,Manzanillo,manzajo01,1997,1999,1,1998 - 1998,
46,Dave,Hansen,hanseda01,1997,1999,1,1998 - 1998,
47,Steve,Montgomery,montgst01,1997,1999,1,1998 - 1998,
48,Heath,Murray,murrahe01,1997,1999,1,1998 - 1998,
49,Chris,Holt,holtch01,1997,1999,1,1998 - 1998,
50,Scarborough,Green,greensc01,1997,1999,1,1998 - 1998,
51,Scott,Pose,posesc01,1997,1999,1,1998 - 1998,
52,Brad,Rigby,rigbybr01,1997,1999,1,1998 - 1998,
53,Julio,Franco,francju01,1997,1999,1,1998 - 1998,"1998 - NPB, Chiba Lotte Marines"
54,Chad,Fonville,fonvich01,1997,1999,1,1998 - 1998,
55,Steve,Scarsone,scarsst01,1997,1999,1,1998 - 1998,
56,Alex,Fernandez,fernaal01,1997,1999,1,1998 - 1998,
57,Everett,Stull,stullev01,1997,1999,1,1998 - 1998,
58,Bruce,Aven,avenbr01,1997,1999,1,1998 - 1998,
59,Jason,Isringhausen,isrinja01,1997,1999,1,1998 - 1998,
60,Ozzie,Timmons,timmooz01,1997,1999,1,1998 - 1998,
61,Tim,Unroe,unroeti01,1997,1999,1,1998 - 1998,
62,Ed,Vosberg,vosbeed01,1997,1999,1,1998 - 1998,
63,Kevin,Jarvis,jarvike01,1997,1999,1,1998 - 1998,"1998 - NPB, Chunichi Dragons"
64,Jeff,Wallace,wallaje01,1997,1999,1,1998 - 1998,
65,Brian,Williams,willibr01,1997,1999,1,1998 - 1998,"1998 - NPB, Fukuoka Daiei Hawks"
66,Tanyon,Sturtze,sturtta01,1997,1999,1,1998 - 1998,
