id,nameFirst,nameLast,playerID,last_seen_year,return_year,gap_years,gap_years_range,gap_details
1,Jim,Murray,murraji01,1902,1911,8,1903 - 1910,
2,Jimmy,Callahan,callani01,1905,1911,5,1906 - 1910,
3,Hi,West,westhi01,1905,1911,5,1906 - 1910,
4,Armando,Marsans,marsaar01,1906,1911,4,1907 - 1910,
5,Eddie,Zimmerman,zimmeed01,1906,1911,4,1907 - 1910,
6,Simón,Valdés,valdesi01,1906,1911,4,1907 - 1910,
7,,Shorts,short01,1906,1911,4,1907 - 1910,
8,Walter,Moser,moserwa01,1906,1911,4,1907 - 1910,
9,Rafael,Almeida,almeira01,1907,1911,3,1908 - 1910,
10,Jesse,Bragg,braggje01,1907,1911,3,1908 - 1910,
11,Lem,Williams,willile06,1907,1911,3,1908 - 1910,
12,Wallace,Gordon,gordowa01,1907,1911,3,1908 - 1910,
13,Bobby,Keefe,keefebo01,1907,1911,3,1908 - 1910,
14,Alf,Satterfield,satteal01,1907,1911,3,1908 - 1910,
15,Emilio,Palomino,palomem01,1908,1911,2,1909 - 1910,
16,Doc,Martin,martido01,1908,1911,2,1909 - 1910,
17,Bert,Maxwell,maxwebe01,1908,1911,2,1909 - 1910,
18,Marty,O'Toole,otoolma01,1908,1911,2,1909 - 1910,
19,Mike,Donlin,donlimi01,1908,1911,2,1909 - 1910,
20,Sherman,Barton,bartosh02,1909,1911,1,1910 - 1910,
21,King,Brockett,brockle01,1909,1911,1,1910 - 1910,
22,Jack,Bushelman,busheja01,1909,1911,1,1910 - 1910,
23,Harry,Camnitz,camniha01,1909,1911,1,1910 - 1910,
24,Josh,Clarke,clarkjo02,1909,1911,1,1910 - 1910,
25,Andy,Coakley,coaklan01,1909,1911,1,1910 - 1910,
26,Jim,Curry,curryji01,1909,1911,1,1910 - 1910,
27,Eddie,Dent,dented01,1909,1911,1,1910 - 1910,
28,Cozy,Dolan,dolanco02,1909,1911,1,1910 - 1910,
29,Del,Gainer,gainede01,1909,1911,1,1910 - 1910,
30,Warren,Miller,millewa01,1909,1911,1,1910 - 1910,
31,Jimmie,Lyons,lyonsji01,1909,1911,1,1910 - 1910,
32,Grover,Lowdermilk,lowdegr01,1909,1911,1,1910 - 1910,
33,Hi,Myers,myershy01,1909,1911,1,1910 - 1910,
34,Tullie,McAdoo,mcadotu01,1909,1911,1,1910 - 1910,
35,Will,McMurray,mcmurwi01,1909,1911,1,1910 - 1910,
36,Larry,Pape,papela01,1909,1911,1,1910 - 1910,
37,Pat,Ragan,raganpa01,1909,1911,1,1910 - 1910,
38,Jack,Ryan,ryanja02,1909,1911,1,1910 - 1910,
39,Ed,Lafitte,lafited01,1909,1911,1,1910 - 1910,
40,Tom,Hughes,hugheto01,1909,1911,1,1910 - 1910,
41,Burt,Shotton,shottbu01,1909,1911,1,1910 - 1910,
42,Big Bill,Smith,smithbi07,1909,1911,1,1910 - 1910,
43,Tubby,Spencer,spenctu01,1909,1911,1,1910 - 1910,
44,Jesse,Tannehill,tanneje01,1909,1911,1,1910 - 1910,
45,Fred,Tenney,tennefr02,1909,1911,1,1910 - 1910,
46,Harry,Ables,ablesha01,1909,1911,1,1910 - 1910,
47,Bob,Higgins,higgibo01,1909,1911,1,1910 - 1910,
48,Rube,Washington,washiru01,1909,1911,1,1910 - 1910,
49,Henry,Hannon,hannohe01,1909,1911,1,1910 - 1910,
50,Bill,Gatewood,gatewbi01,1909,1911,1,1910 - 1910,
51,Steve,Yerkes,yerkest02,1909,1911,1,1910 - 1910,
52,Jack,Thoney,thoneja01,1909,1911,1,1910 - 1910,
