id,nameFirst,nameLast,playerID,last_seen_year,return_year,gap_years,gap_years_range,gap_details
1,Dick,Baney,baneydi01,1969,1973,3,1970 - 1972,
2,Freddie,Velazquez,velazfr01,1969,1973,3,1970 - 1972,
3,Dave,Baldwin,baldwda01,1970,1973,2,1971 - 1972,
4,Jim,Campanis,campaji01,1970,1973,2,1971 - 1972,
5,Terry,Hughes,hughete01,1970,1973,2,1971 - 1972,
6,Aurelio,Monteagudo,monteau01,1970,1973,2,1971 - 1972,
7,Frank,Baker,bakerfr03,1971,1973,1,1972 - 1972,
8,Jackie,Brown,brownja01,1971,1973,1,1972 - 1972,
9,Ray,Busse,bussera01,1971,1973,1,1972 - 1972,
10,Jerry,DaVanon,davanje01,1971,1973,1,1972 - 1972,
11,Chuck,Dobson,dobsoch01,1971,1973,1,1972 - 1972,
12,Leo,Foster,fostele01,1971,1973,1,1972 - 1972,
13,Jim,Gosger,gosgeji01,1971,1973,1,1972 - 1972,
14,Andy,Hassler,hasslan01,1971,1973,1,1972 - 1972,
15,Larry,Hisle,hislela01,1971,1973,1,1972 - 1972,
16,Tim,Hosley,hosleti01,1971,1973,1,1972 - 1972,
17,Buddy,Hunter,huntebu01,1971,1973,1,1972 - 1972,
18,Cleo,James,jamescl01,1971,1973,1,1972 - 1972,
19,Von,Joshua,joshuvo01,1971,1973,1,1972 - 1972,
20,John,Lamb,lambjo01,1971,1973,1,1972 - 1972,
21,Tony,LaRussa,larusto01,1971,1973,1,1972 - 1972,
22,Jim,Magnuson,magnuji01,1971,1973,1,1972 - 1972,
23,Buck,Martinez,martibu01,1971,1973,1,1972 - 1972,
24,Rudy,Meoli,meoliru01,1971,1973,1,1972 - 1972,
25,Bobby,Mitchell,mitchbo02,1971,1973,1,1972 - 1972,
26,Harry,Parker,parkeha01,1971,1973,1,1972 - 1972,
27,Orlando,Peña,penaor01,1971,1973,1,1972 - 1972,
28,Paul,Powell,powelpa01,1971,1973,1,1972 - 1972,
29,Rick,Stelmaszek,stelmri01,1971,1973,1,1972 - 1972,
30,Mike,Thompson,thompmi01,1971,1973,1,1972 - 1972,
31,John,Vukovich,vukovjo01,1971,1973,1,1972 - 1972,
32,Danny,Walton,waltoda01,1971,1973,1,1972 - 1972,
