id,nameFirst,nameLast,playerID,last_seen_year,return_year,gap_years,gap_years_range,gap_details
1,Jason,Wood,woodja02,1999,2006,6,2000 - 2005,
2,Joe,Winkelsas,winkejo01,1999,2006,6,2000 - 2005,
3,Ken,Ray,rayke01,1999,2006,6,2000 - 2005,
4,Brian,Sikorski,sikorbr01,2000,2006,5,2001 - 2005,"2001 - NPB, Chiba Lotte Marines; 2002 - NPB, Chiba Lotte Marines; 2003 - NPB, Chiba Lotte Marines; 2004 - NPB, Yomiuri Giants; 2005 - NPB, Yomiuri Giants"
5,Tomas,de la Rosa,delarto01,2001,2006,4,2002 - 2005,
6,Luis,Figueroa,figuelu01,2001,2006,4,2002 - 2005,
7,Bryan,Corey,coreybr01,2002,2006,3,2003 - 2005,"2004 - NPB, Yomiuri Giants"
8,Luis,Ordaz,ordazlu01,2002,2006,3,2003 - 2005,
9,Chris,Michalak,michach01,2002,2006,3,2003 - 2005,
10,Kevin,Barker,barkeke01,2002,2006,3,2003 - 2005,
11,Mike,Smith,smithmi06,2002,2006,3,2003 - 2005,
12,Mike,Holtz,holtzmi01,2002,2006,3,2003 - 2005,"2005 - NPB, Yokohama BayStars"
13,Paul,Hoover,hoovepa01,2002,2006,3,2003 - 2005,
14,Andy,Abad,abadan01,2003,2006,2,2004 - 2005,
15,Miguel,Asencio,asencmi01,2003,2006,2,2004 - 2005,
16,Chad,Paronto,paronch01,2003,2006,2,2004 - 2005,
17,Mike,Rivera,rivermi02,2003,2006,2,2004 - 2005,
18,Matt,Roney,roneyma01,2003,2006,2,2004 - 2005,
19,Jason,Shiell,shielja01,2003,2006,2,2004 - 2005,
20,Fernando,Tatis,tatisfe01,2003,2006,2,2004 - 2005,
21,Micah,Bowie,bowiemi01,2003,2006,2,2004 - 2005,
22,Les,Walrond,walrole01,2003,2006,2,2004 - 2005,
23,Kris,Wilson,wilsokr01,2003,2006,2,2004 - 2005,
24,Clay,Condrey,condrcl01,2003,2006,2,2004 - 2005,
25,Kevin,Witt,wittke01,2003,2006,2,2004 - 2005,"2005 - NPB, Yokohama BayStars"
26,Billy,Traber,trabebi01,2003,2006,2,2004 - 2005,
27,George,Lombard,lombage01,2003,2006,2,2004 - 2005,
28,Julio,Manon,manonju01,2003,2006,2,2004 - 2005,
29,Cha-Seung,Baek,baekch01,2004,2006,1,2005 - 2005,
30,Rocco,Baldelli,baldero01,2004,2006,1,2005 - 2005,
31,Tony,Batista,batisto01,2004,2006,1,2005 - 2005,"2005 - NPB, Fukuoka Softbank Hawks"
32,Dave,Borkowski,borkoda01,2004,2006,1,2005 - 2005,
33,Rob,Bowen,bowenro01,2004,2006,1,2005 - 2005,
34,Adrian,Brown,brownad01,2004,2006,1,2005 - 2005,
35,Howie,Clark,clarkho02,2004,2006,1,2005 - 2005,
36,Roy,Corcoran,corcoro01,2004,2006,1,2005 - 2005,
37,Francisco,Cruceta,crucefr01,2004,2006,1,2005 - 2005,
38,Jack,Cust,custja01,2004,2006,1,2005 - 2005,
39,Casey,Daigle,daiglca01,2004,2006,1,2005 - 2005,
40,David,Aardsma,aardsda01,2004,2006,1,2005 - 2005,
41,Scott,Dunn,dunnsc01,2004,2006,1,2005 - 2005,
42,Chad,Durbin,durbich01,2004,2006,1,2005 - 2005,
43,Alex,Escobar,escobal01,2004,2006,1,2005 - 2005,
44,Pedro,Feliciano,felicpe01,2004,2006,1,2005 - 2005,"2005 - NPB, Fukuoka Softbank Hawks"
45,Jared,Fernandez,fernaja01,2004,2006,1,2005 - 2005,
46,Bartolome,Fortunato,fortuba01,2004,2006,1,2005 - 2005,
47,Frank,Francisco,francfr01,2004,2006,1,2005 - 2005,
48,Darren,Oliver,oliveda02,2004,2006,1,2005 - 2005,
49,J. R.,House,housejr01,2004,2006,1,2005 - 2005,
50,Colby,Lewis,lewisco01,2004,2006,1,2005 - 2005,
51,Shawn,Hill,hillsh01,2004,2006,1,2005 - 2005,
52,Jason,Kubel,kubelja01,2004,2006,1,2005 - 2005,
53,Kerry,Robinson,robinke02,2004,2006,1,2005 - 2005,
54,Eddy,Rodriguez,rodried03,2004,2006,1,2005 - 2005,
55,Justin,Leone,leoneju01,2004,2006,1,2005 - 2005,
56,Tim,Salmon,salmoti01,2004,2006,1,2005 - 2005,
57,Marty,McLeary,mcleama01,2004,2006,1,2005 - 2005,
58,Ben,Hendrickson,hendrbe01,2004,2006,1,2005 - 2005,
59,Randall,Simon,simonra01,2004,2006,1,2005 - 2005,"2005 - NPB, Orix Buffaloes"
60,Robby,Hammock,hammoro01,2004,2006,1,2005 - 2005,
61,Brian,Sweeney,sweenbr01,2004,2006,1,2005 - 2005,
62,Jeff,Keppinger,keppije01,2004,2006,1,2005 - 2005,
63,Joe,Thurston,thursjo01,2004,2006,1,2005 - 2005,
64,Jon,Knott,knottjo02,2004,2006,1,2005 - 2005,
65,B. J.,Upton,uptonbj01,2004,2006,1,2005 - 2005,
66,Mike,Venafro,venafmi01,2004,2006,1,2005 - 2005,
67,Chad,Mottola,mottoch01,2004,2006,1,2005 - 2005,
68,Joe,Nelson,nelsojo01,2004,2006,1,2005 - 2005,
69,Freddy,Guzman,guzmafr01,2004,2006,1,2005 - 2005,
70,Dewayne,Wise,wisede01,2004,2006,1,2005 - 2005,
71,Greg,Norton,nortogr01,2004,2006,1,2005 - 2005,
72,Justin,Germano,germaju01,2004,2006,1,2005 - 2005,
73,Tyler,Yates,yatesty01,2004,2006,1,2005 - 2005,
